postcode,straat,huisnummer,huisletter,toevoeging
1102BA,Florijn,22,,
1102BA,Florijn,23,,
1102BA,Florijn,24,,
1102BA,Florijn,25,,
1102BA,Florijn,27,,
1102BA,Florijn,28,,
1102BA,Florijn,30,,
1102BA,Florijn,31,,
1102BA,Florijn,32,,
1102BA,Florijn,33,,
1102BA,Florijn,34,,
1102BA,Florijn,35,,
1102BA,Florijn,36,,
1102BA,Florijn,37,,
1102BA,Florijn,39,,
1102BA,Florijn,40,,
1102BA,Florijn,41,,
1102BA,Florijn,42,,
1102BA,Florijn,43,,
1102BA,Florijn,45,,
1102BA,Florijn,46,,
1102BA,Florijn,49,,
1102BA,Florijn,101,,
1102BA,Florijn,102,,
1102BA,Florijn,103,,
1102BA,Florijn,104,,
1102BA,Florijn,105,,
1102BA,Florijn,106,,
1102BA,Florijn,107,,
1102BA,Florijn,108,,
1102BA,Florijn,109,,
1102BA,Florijn,110,,
1102BA,Florijn,126,,
1102BA,Florijn,130,,
1102BA,Florijn,131,,
1102BA,Florijn,132,,
1102BA,Florijn,133,,
1102BA,Florijn,134,,
1102BA,Florijn,135,,
1102BA,Florijn,136,,
1102BA,Florijn,137,,
1102BA,Florijn,138,,
1102BA,Florijn,139,,
1102BA,Florijn,140,,
1102BA,Florijn,141,,
1102BA,Florijn,142,,
1102BA,Florijn,201,,
1102BA,Florijn,202,,
1102BA,Florijn,203,,
1102BA,Florijn,204,,
1102BA,Florijn,205,,
1102BA,Florijn,206,,
1102BA,Florijn,207,,
1102BA,Florijn,208,,
1102BA,Florijn,209,,
1102BA,Florijn,210,,
1102BA,Florijn,226,,
1102BA,Florijn,230,,
1102BA,Florijn,231,,
1102BA,Florijn,232,,
1102BA,Florijn,233,,
1102BA,Florijn,234,,
1102BA,Florijn,235,,
1102BA,Florijn,236,,
1102BA,Florijn,237,,
1102BA,Florijn,238,,
1102BA,Florijn,239,,
1102BA,Florijn,240,,
1102BA,Florijn,242,,
1102BA,Florijn,301,,
1102BA,Florijn,302,,
1102BA,Florijn,303,,
1102BA,Florijn,304,,
