straat,huisnummer,huisletter,toevoeging,postcode,plaats
Kruitbergstraat,1,"","",1104BB,Amsterdam Zuidoost
Kruitbergstraat,1,"","",1104BB,Amsterdam Zuidoost
Kruitbergstraat,11,"","",1104BB,Amsterdam Zuidoost
Kruitbergstraat,13,"","",1104BB,Amsterdam Zuidoost
Kruitbergstraat,15,"","",1104BB,Amsterdam Zuidoost
Kruitbergstraat,16,"","",1104BB,Amsterdam Zuidoost
Kruitbergstraat,18,"","",1104BB,Amsterdam Zuidoost
Kruitbergstraat,3,"","",1104BB,Amsterdam Zuidoost
Kruitbergstraat,3,"","",1104BB,Amsterdam Zuidoost
Kruitbergstraat,5,"","",1104BB,Amsterdam Zuidoost
Kruitbergstraat,5,"","",1104BB,Amsterdam Zuidoost
Kruitbergstraat,7,"","",1104BB,Amsterdam Zuidoost
Kruitbergstraat,7,"","",1104BB,Amsterdam Zuidoost
Kruitbergstraat,9,"","",1104BB,Amsterdam Zuidoost
Kruitbergstraat,9,"","",1104BB,Amsterdam Zuidoost
Kruitberghof,1,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,10,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,100,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,101,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,102,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,103,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,104,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,105,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,106,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,107,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,108,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,109,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,11,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,110,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,111,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,112,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,113,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,114,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,115,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,116,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,117,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,12,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,13,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,14,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,15,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,16,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,17,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,18,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,19,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,2,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,20,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,21,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,22,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,23,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,24,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,25,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,26,"","",1104BC,Amsterdam Zuidoost
Kruitberghof,27,"","",1104BC,Amsterdam Zuidoost
