"postcode","huisnummer","huisletter","toevoeging"
"3035PR",8,"A",""
3035PR,Vijfhoekweg Noord,8,A,
3035GN,1e Pijnackerstraat,75,,
3035GN,1e Pijnackerstraat,77,A,
3035GN,1e Pijnackerstraat,77,B,
3035GN,1e Pijnackerstraat,77,C,
3035GN,1e Pijnackerstraat,79,A,
3035GN,1e Pijnackerstraat,79,B,
3035GN,1e Pijnackerstraat,79,C,
3035GN,1e Pijnackerstraat,81,,
3035GN,1e Pijnackerstraat,83,A,
3035GN,1e Pijnackerstraat,83,B,
3035GN,1e Pijnackerstraat,83,C,
3035GN,1e Pijnackerstraat,85,A,
3035GN,1e Pijnackerstraat,85,B,
3035GN,1e Pijnackerstraat,87,A,01
3035GN,1e Pijnackerstraat,87,A,02
3035GN,1e Pijnackerstraat,87,B,
3035GN,1e Pijnackerstraat,89,A,
3035GN,1e Pijnackerstraat,89,B,
3035GN,1e Pijnackerstraat,91,A,
3035GN,1e Pijnackerstraat,91,B,
3035GN,1e Pijnackerstraat,93,,
3035GN,1e Pijnackerstraat,95,A,
3035GN,1e Pijnackerstraat,95,B,
3035GP,1e Pijnackerstraat,97,A,
3035GP,1e Pijnackerstraat,97,B,
3035GP,1e Pijnackerstraat,99,A,
3035GP,1e Pijnackerstraat,99,B,
3035GP,1e Pijnackerstraat,99,C,
3035GP,1e Pijnackerstraat,103,A,
3035GP,1e Pijnackerstraat,103,B,
3035GP,1e Pijnackerstraat,105,A,
3035GP,1e Pijnackerstraat,105,B,
3035GP,1e Pijnackerstraat,107,B,
3035GP,1e Pijnackerstraat,109,A,
3035GP,1e Pijnackerstraat,109,B,
3035GP,1e Pijnackerstraat,111,,
3035GP,1e Pijnackerstraat,113,A,
3035GP,1e Pijnackerstraat,113,B,
3035GR,1e Pijnackerstraat,115,A,
3035GR,1e Pijnackerstraat,115,B,
3035GR,1e Pijnackerstraat,117,A,
3035GR,1e Pijnackerstraat,117,B,
3035GR,1e Pijnackerstraat,119,A,
3035GR,1e Pijnackerstraat,119,B,
3035GR,1e Pijnackerstraat,121,A,
3035GR,1e Pijnackerstraat,121,B,
3035GR,1e Pijnackerstraat,123,A,
3035GR,1e Pijnackerstraat,123,B,
3035GS,1e Pijnackerstraat,127,A,
3035GS,1e Pijnackerstraat,127,B,
3035GS,1e Pijnackerstraat,129,A,
3035GS,1e Pijnackerstraat,129,B,
3035GS,1e Pijnackerstraat,131,A,
3035GS,1e Pijnackerstraat,131,B,
3035GS,1e Pijnackerstraat,133,A,
3035GS,1e Pijnackerstraat,133,B,
