"postcode","huisnummer","huisletter","toevoeging"
"5721NL",25,"",""
5721NL,Elfenbank,25,,
5721NA,Amanietenhof,1,,
5721NA,Amanietenhof,2,,
5721NA,Amanietenhof,3,,
5721NA,Amanietenhof,4,,
5721NA,Amanietenhof,5,,
5721NA,Amanietenhof,6,,
5721NA,Amanietenhof,7,,
5721NA,Amanietenhof,8,,
5721NA,Amanietenhof,9,,
5721NA,Amanietenhof,10,,
5721NA,Amanietenhof,11,,
5721NA,Amanietenhof,12,,
5721NA,Amanietenhof,13,,
5721NA,Amanietenhof,14,,
5721NH,Boleet,1,,
5721NH,Boleet,2,,
5721NH,Boleet,3,,
5721NH,Boleet,4,,
5721NH,Boleet,5,,
5721NH,Boleet,6,,
5721NH,Boleet,7,,
5721NH,Boleet,8,,
5721NH,Boleet,9,,
5721NH,Boleet,10,,
5721NH,Boleet,11,,
5721NH,Boleet,12,,
5721NH,Boleet,13,,
5721NH,Boleet,14,,
5721NH,Boleet,15,,
5721NH,Boleet,16,,
5721NH,Boleet,17,,
5721NH,Boleet,18,,
5721NH,Boleet,19,,
5721NH,Boleet,20,,
5721NH,Boleet,22,,
5721NH,Boleet,23,,
5721NH,Boleet,24,,
5721NH,Boleet,25,,
5721NH,Boleet,26,,
5721NH,Boleet,27,,
5721NH,Boleet,28,,
5721NH,Boleet,29,,
5721NH,Boleet,30,,
5721NH,Boleet,32,,
5721NH,Boleet,34,,
5721NH,Boleet,36,,
5721NH,Boleet,38,,
5721NH,Boleet,40,,
5721NE,Boletenplein,2,,
5721NE,Boletenplein,4,,
5721NE,Boletenplein,6,,
5721NE,Boletenplein,8,,
5721NE,Boletenplein,10,,
5721NE,Boletenplein,12,,
5721NE,Boletenplein,14,,
5721NE,Boletenplein,16,,
5721NE,Boletenplein,18,,
5721NE,Boletenplein,20,,
5721NE,Boletenplein,22,,
5721NE,Boletenplein,24,,
5721NE,Boletenplein,26,,
5721NE,Boletenplein,28,,
5721NE,Boletenplein,30,,
5721NE,Boletenplein,32,,
5721NE,Boletenplein,34,,
5721NE,Boletenplein,36,,
5721NE,Boletenplein,38,,
5721NE,Boletenplein,40,,
5721NE,Boletenplein,42,,
5721NE,Boletenplein,44,,
5721NE,Boletenplein,46,,
5721NE,Boletenplein,48,,
5721NE,Boletenplein,50,,
5721NE,Boletenplein,52,,
5721NE,Boletenplein,54,,
5721NE,Boletenplein,56,,
5721NG,Boletenplein,1,,
5721NG,Boletenplein,3,,
5721NG,Boletenplein,5,,
5721NG,Boletenplein,7,,
5721NG,Boletenplein,9,,
5721NG,Boletenplein,11,,
5721NG,Boletenplein,13,,
5721NG,Boletenplein,15,,
5721NG,Boletenplein,17,,
5721NG,Boletenplein,19,,
5721NG,Boletenplein,21,,
5721NG,Boletenplein,23,,
5721NG,Boletenplein,25,,
5721NG,Boletenplein,27,,
5721NG,Boletenplein,29,,
5721NG,Boletenplein,31,,
5721NG,Boletenplein,33,,
5721NG,Boletenplein,35,,
5721NG,Boletenplein,37,,
5721NG,Boletenplein,39,,
5721NG,Boletenplein,41,,
5721NG,Boletenplein,43,,
5721NG,Boletenplein,45,,
5721NG,Boletenplein,47,,
5721NG,Boletenplein,49,,
5721NG,Boletenplein,51,,
5721NG,Boletenplein,53,,
5721NG,Boletenplein,55,,
5721NG,Boletenplein,11,,
5721NG,Boletenplein,17,,
5721NG,Boletenplein,51,,
5721NG,Boletenplein,53,,
5721NC,Bovist,1,,
5721NC,Bovist,2,,
5721NC,Bovist,3,,
5721NC,Bovist,4,,
5721NC,Bovist,5,,
5721NC,Bovist,6,,
5721NC,Bovist,7,,
5721NC,Bovist,8,,
5721NC,Bovist,9,,
5721NC,Bovist,10,,
5721NC,Bovist,11,,
5721NC,Bovist,12,,
5721NC,Bovist,13,,
5721NC,Bovist,14,,
5721NC,Bovist,15,,
5721NC,Bovist,16,,
5721NC,Bovist,17,,
5721NC,Bovist,18,,
5721NC,Bovist,19,,
5721NC,Bovist,20,,
5721NC,Bovist,21,,
5721NC,Bovist,22,,
5721NC,Bovist,1,,
5721NC,Bovist,2,,
5721NC,Bovist,3,,
5721NC,Bovist,4,,
5721NC,Bovist,5,,
5721NC,Bovist,6,,
5721NC,Bovist,7,,
5721NC,Bovist,8,,
5721NC,Bovist,9,,
5721NC,Bovist,10,,
5721NC,Bovist,11,,
5721NC,Bovist,12,,
5721NC,Bovist,13,,
5721NC,Bovist,14,,
5721NC,Bovist,15,,
5721NC,Bovist,16,,
5721NC,Bovist,16,,
5721NC,Bovist,17,,
5721NC,Bovist,17,,
5721NC,Bovist,18,,
5721NC,Bovist,18,,
5721NC,Bovist,19,,
5721NC,Bovist,19,,
5721NC,Bovist,20,,
5721NC,Bovist,20,,
5721NC,Bovist,21,,
5721NC,Bovist,21,,
5721NC,Bovist,22,,
5721NC,Bovist,22,,
5721NC,Bovist,16,,
5721NC,Bovist,17,,
5721NC,Bovist,18,,
5721NC,Bovist,19,,
5721NC,Bovist,20,,
5721NC,Bovist,20,,
5721NC,Bovist,19,,
5721NC,Bovist,21,,
5721NC,Bovist,22,,
5721NJ,Elfenbank,2,,
5721NJ,Elfenbank,2,,
5721NJ,Elfenbank,4,,
5721NJ,Elfenbank,4,,
5721NJ,Elfenbank,6,,
5721NJ,Elfenbank,6,,
5721NJ,Elfenbank,8,,
5721NJ,Elfenbank,8,,
5721NJ,Elfenbank,10,,
5721NJ,Elfenbank,12,,
5721NJ,Elfenbank,12,,
5721NJ,Elfenbank,14,,
5721NJ,Elfenbank,14,,
5721NJ,Elfenbank,16,,
5721NJ,Elfenbank,18,,
5721NJ,Elfenbank,20,,
5721NJ,Elfenbank,22,,
5721NJ,Elfenbank,24,,
5721NJ,Elfenbank,26,,
5721NJ,Elfenbank,28,,
5721NJ,Elfenbank,30,,
5721NJ,Elfenbank,32,,
5721NJ,Elfenbank,34,,
5721NJ,Elfenbank,36,,
5721NJ,Elfenbank,38,,
5721NJ,Elfenbank,40,,
5721NJ,Elfenbank,42,,
5721NJ,Elfenbank,44,,
5721NJ,Elfenbank,46,,
5721NJ,Elfenbank,48,,
5721NJ,Elfenbank,50,,
5721NJ,Elfenbank,52,,
5721NJ,Elfenbank,54,,
5721NJ,Elfenbank,56,,
5721NJ,Elfenbank,58,,
5721NJ,Elfenbank,60,,
5721NJ,Elfenbank,62,,
5721NJ,Elfenbank,48,,
5721NK,Elfenbank,64,,
5721NK,Elfenbank,66,,
5721NK,Elfenbank,68,,
5721NK,Elfenbank,70,,
5721NK,Elfenbank,72,,
5721NK,Elfenbank,74,,
5721NK,Elfenbank,76,,
5721NK,Elfenbank,78,,
5721NK,Elfenbank,80,,
5721NK,Elfenbank,82,,
5721NK,Elfenbank,84,,
5721NK,Elfenbank,86,,
5721NK,Elfenbank,88,,
5721NK,Elfenbank,90,,
5721NK,Elfenbank,92,,
5721NK,Elfenbank,94,,
5721NK,Elfenbank,96,,
5721NK,Elfenbank,98,,
5721NK,Elfenbank,100,,
5721NK,Elfenbank,102,,
5721NK,Elfenbank,104,,
5721NK,Elfenbank,106,,
5721NK,Elfenbank,108,,
5721NK,Elfenbank,110,,
5721NK,Elfenbank,112,,
5721NK,Elfenbank,114,,
5721NK,Elfenbank,116,,
5721NK,Elfenbank,118,,
5721NK,Elfenbank,120,,
5721NK,Elfenbank,122,,
5721NK,Elfenbank,124,,
5721NK,Elfenbank,124,,
5721NK,Elfenbank,126,,
5721NK,Elfenbank,126,,
5721NK,Elfenbank,128,,
5721NK,Elfenbank,128,,
5721NL,Elfenbank,1,,
5721NL,Elfenbank,3,,
5721NL,Elfenbank,5,,
5721NL,Elfenbank,7,,
5721NL,Elfenbank,9,,
5721NL,Elfenbank,11,,
5721NL,Elfenbank,13,,
5721NL,Elfenbank,15,,
5721NL,Elfenbank,17,,
5721NL,Elfenbank,19,,
5721NL,Elfenbank,21,,
5721NL,Elfenbank,23,,
5721NL,Elfenbank,25,,
5721NL,Elfenbank,27,,
5721NL,Elfenbank,29,,
5721NL,Elfenbank,31,,
5721NL,Elfenbank,33,,
5721NL,Elfenbank,35,,
5721NL,Elfenbank,37,,
5721NL,Elfenbank,39,,
5721NL,Elfenbank,41,,
5721NL,Elfenbank,43,,
5721NL,Elfenbank,45,,
5721NL,Elfenbank,47,,
5721NL,Elfenbank,49,,
5721NL,Elfenbank,49,,
5721NL,Elfenbank,51,,
5721NL,Elfenbank,51,,
5721NL,Elfenbank,53,,
5721NL,Elfenbank,53,,
5721NM,Elfenbank,55,,
5721NM,Elfenbank,55,,
5721NM,Elfenbank,57,,
5721NM,Elfenbank,59,,
5721NM,Elfenbank,61,,
5721NM,Elfenbank,63,,
5721NM,Elfenbank,65,,
5721NM,Elfenbank,67,,
5721NM,Elfenbank,69,,
5721NM,Elfenbank,71,,
5721NM,Elfenbank,73,,
5721NM,Elfenbank,75,,
5721NM,Elfenbank,75,,
5721NM,Elfenbank,77,,
5721NM,Elfenbank,79,,
5721NM,Elfenbank,81,,
5721NM,Elfenbank,83,,
5721NM,Elfenbank,85,,
5721NM,Elfenbank,87,,
5721NM,Elfenbank,89,,
5721NM,Elfenbank,91,,
5721NM,Elfenbank,93,,
5721NM,Elfenbank,95,,
5721NM,Elfenbank,97,,
5721NM,Elfenbank,99,,
5721NM,Elfenbank,101,,
