"postcode","huisnummer","huisletter","toevoeging"
"4826AA",7,"D","07"
4826AA,Industrieweg,7,D,07
4825AA,Backer en Ruebweg,2,,
4825BZ,Hartelweg,1,,
4825BZ,Hartelweg,1,A,
4825BZ,Hartelweg,2,,
4825AV,Hazepad,2,,
4825AV,Hazepad,3,,
4825AN,Kleine Krogt,2,,
4825AN,Kleine Krogt,3,,
4815EH,Konijnenberg,2,,
4825BC,Konijnenberg,1,,
4825BL,Oude Baan,1,,
4825BL,Oude Baan,1,A,
4825BL,Oude Baan,1,B,
4825BL,Oude Baan,2,,
4825BL,Oude Baan,3,,
4825AX,Prinsenhil,1,,
4825AX,Prinsenhil,3,,
4825AP,Riethil,1,,
4825AP,Riethil,3,,
4825BX,Salesdreef,1,,
4825AR,Moerlaken,3,,
4825AR,Moerlaken,3,A,
4825BP,Nieuwe Bredase Baan,2,,
4825BP,Nieuwe Bredase Baan,3,,
4825AK,Steenen Hoofd,2,,
4825BH,Vossenberg,2,,
4825BM,Trekpot,1,,
4825BN,Trekpot,2,,
4825BN,Trekpot,2,A,
4825BN,Trekpot,2,B,
4825BN,Trekpot,2,E,
4815HC,Veilingkade,3,,
4815HC,Veilingkade,4,,
4815HA,Belcrumweg,5,,
4815HA,Belcrumweg,7,,
4815HA,Belcrumweg,9,,
4825AZ,Eikdonk,4,,
4825AZ,Eikdonk,5,,
4825AZ,Eikdonk,6,,
4825AZ,Eikdonk,9,,
4825BZ,Hartelweg,4,,
4825BZ,Hartelweg,5,,
4825BZ,Hartelweg,6,,
4825BZ,Hartelweg,8,,
4825BZ,Hartelweg,9,,
4825AV,Hazepad,5,,
4825AV,Hazepad,7,,
4825AV,Hazepad,8,,A1
4825AV,Hazepad,8,,A2
4825AV,Hazepad,8,,A3
4825AV,Hazepad,8,,A4
4825AV,Hazepad,8,,A5
4825AV,Hazepad,8,,A6
4825AV,Hazepad,8,,A7
4825AV,Hazepad,8,,A8
4825AV,Hazepad,8,,A9
4825AV,Hazepad,8,,A10
4825AV,Hazepad,8,,A11
4825AV,Hazepad,8,,A12
4825AV,Hazepad,8,,A13
4825AV,Hazepad,8,,A14
4825AV,Hazepad,8,,A15
4825AV,Hazepad,8,,A16
4825AV,Hazepad,8,B,
4825AV,Hazepad,8,C,
4825AV,Hazepad,8,D,
4825AV,Hazepad,9,,
4815HD,Industriekade,5,,
4825AL,Kalshoven,7,,
4825AM,Kalshoven,6,,
4825AM,Kalshoven,8,,
4825AM,Kalshoven,8,A,
4825AM,Kalshoven,8,B,
4825AM,Kalshoven,8,C,
4825AM,Kalshoven,8,D,
4825BG,Lijndonk,4,,
4825AN,Kleine Krogt,5,,
4815EH,Konijnenberg,6,,
4825BL,Oude Baan,4,,
4825BL,Oude Baan,5,,
4825BL,Oude Baan,6,,
4825BL,Oude Baan,8,,
4825AX,Prinsenhil,7,,
4825AX,Prinsenhil,9,,
