"postcode","huisnummer","huisletter","toevoeging"
"4711LX",6,"",""
4711LX,Lamme van Dieseplein,6,,
4711DZ,Smidshof,8,,
4711DZ,Smidshof,9,,
4711DZ,Smidshof,17,,
4711DZ,Smidshof,18,,
4711DZ,Smidshof,6,,
4711DZ,Smidshof,5,,
4711DZ,Smidshof,4,,
4711DZ,Smidshof,2,,
4711DZ,Smidshof,1,,
4711DZ,Smidshof,10,,
4711DZ,Smidshof,11,,
4711DZ,Smidshof,13,,
4711DZ,Smidshof,14,,
4711DZ,Smidshof,16,,
4711DZ,Smidshof,7,,
4711ER,Smidsstraat,8,,
4711ER,Smidsstraat,3,,
4711ER,Smidsstraat,9,,
4711ER,Smidsstraat,2,,
4711ER,Smidsstraat,16,,
4711LE,Sperwerdonk,6,,
4711LE,Sperwerdonk,4,,
4711LE,Sperwerdonk,8,,
4711LE,Sperwerdonk,3,,
4711LE,Sperwerdonk,1,,
4711LE,Sperwerdonk,10,,
4711LE,Sperwerdonk,5,a,
4711LE,Sperwerdonk,5,A,
4711LE,Sperwerdonk,11,,
4711LE,Sperwerdonk,7,,
4711LE,Sperwerdonk,2,,
4711HD,Tulpstraat,25,,
4711HD,Tulpstraat,29,,
4711HD,Tulpstraat,31,,
4711HD,Tulpstraat,7,,
4711HD,Tulpstraat,9,,
4711HD,Tulpstraat,11,,
4711HD,Tulpstraat,13,,
4711HD,Tulpstraat,17,,
4711HD,Tulpstraat,5,,
4711HD,Tulpstraat,3,,
4711HD,Tulpstraat,21,,
4711HD,Tulpstraat,27,,
4711HE,Tulpstraat,55,,
4711HE,Tulpstraat,59,,
4711HE,Tulpstraat,39,,
4711HE,Tulpstraat,41,,
4711HE,Tulpstraat,47,,
4711HE,Tulpstraat,49,,
4711HE,Tulpstraat,51,,
4711HE,Tulpstraat,35,,
4711HE,Tulpstraat,37,,
4711HE,Tulpstraat,43,,
4711HE,Tulpstraat,45,,
4711HE,Tulpstraat,53,,
4711HE,Tulpstraat,33,,
4711HG,Tulpstraat,81,,
4711HG,Tulpstraat,85,,
4711HG,Tulpstraat,87,,
4711HG,Tulpstraat,89,,
4711HG,Tulpstraat,77,,
4711HG,Tulpstraat,79,,
4711HG,Tulpstraat,69,,
4711HG,Tulpstraat,73,,
4711HG,Tulpstraat,109,,
4711HG,Tulpstraat,111,,
4711HG,Tulpstraat,113,,
4711HG,Tulpstraat,99,,
4711HG,Tulpstraat,103,,
4711HG,Tulpstraat,105,,
4711HG,Tulpstraat,71,,
4711HG,Tulpstraat,83,,
4711HG,Tulpstraat,75,,
4711HG,Tulpstraat,95,,
4711HG,Tulpstraat,115,,
4711HG,Tulpstraat,73,A,
4711HG,Tulpstraat,101,,
4711HH,Tulpstraat,12,,
4711HH,Tulpstraat,14,,
4711HH,Tulpstraat,16,,
4711HH,Tulpstraat,50,,
4711HH,Tulpstraat,4,,
4711HH,Tulpstraat,22,,
4711HH,Tulpstraat,6,,
4711HH,Tulpstraat,8,,
4711HH,Tulpstraat,42,,
4711HH,Tulpstraat,44,,
4711HH,Tulpstraat,56,,
4711HH,Tulpstraat,30,,
4711HH,Tulpstraat,32,,
4711HH,Tulpstraat,34,,
4711HH,Tulpstraat,36,,
4711HH,Tulpstraat,38,,
4711HH,Tulpstraat,10,,
4711HH,Tulpstraat,8,A,
4711HH,Tulpstraat,18,,
4711HH,Tulpstraat,46,,
4711HH,Tulpstraat,2,,
4711HH,Tulpstraat,24,,
4711HH,Tulpstraat,20,,
4711HH,Tulpstraat,48,,
4711HJ,Tulpstraat,86,,
4711HJ,Tulpstraat,66,,
4711HJ,Tulpstraat,102,,
4711HJ,Tulpstraat,78,,
4711HJ,Tulpstraat,112,,
4711HJ,Tulpstraat,114,,
4711HJ,Tulpstraat,82,,
4711HJ,Tulpstraat,90,,
4711HJ,Tulpstraat,96,,
4711HJ,Tulpstraat,64,,
4711HJ,Tulpstraat,106,,
4711HJ,Tulpstraat,108,,
4711HJ,Tulpstraat,110,,
4711HJ,Tulpstraat,88,,
4711HJ,Tulpstraat,68,,
4711HJ,Tulpstraat,70,,
4711HJ,Tulpstraat,94,,
4711HJ,Tulpstraat,72,,
4711HJ,Tulpstraat,60,,
4711HJ,Tulpstraat,58,,
4711HJ,Tulpstraat,74,,
4711LC,Valkendonk,3,,
4711LC,Valkendonk,1,,
4711LC,Valkendonk,21,,
4711LC,Valkendonk,15,,
4711LC,Valkendonk,17,,
4711LC,Valkendonk,19,,
4711LC,Valkendonk,7,,
4711LC,Valkendonk,13,,
4711LC,Valkendonk,9,,
4711LC,Valkendonk,31,,
4711LC,Valkendonk,33,,
4711LC,Valkendonk,35,,
4711LC,Valkendonk,11,,
4711LC,Valkendonk,5,,
4711LC,Valkendonk,27,,
4711LC,Valkendonk,23,,
4711LC,Valkendonk,29,,
4711LD,Valkendonk,28,,
4711LD,Valkendonk,36,,
4711LD,Valkendonk,54,,
4711LD,Valkendonk,32,,
4711LD,Valkendonk,30,,
4711LD,Valkendonk,34,,
4711LD,Valkendonk,12,,
4711LD,Valkendonk,10,,
4711LD,Valkendonk,8,,
4711LD,Valkendonk,42,,
4711LD,Valkendonk,50,,
4711LD,Valkendonk,18,,
4711LD,Valkendonk,16,,
4711LD,Valkendonk,14,,
4711LD,Valkendonk,24,,
4711LD,Valkendonk,22,,
4711LD,Valkendonk,44,,
4711LD,Valkendonk,46,,
4711LD,Valkendonk,4,,
4711LD,Valkendonk,2,,
4711LD,Valkendonk,52,,
4711LD,Valkendonk,6,,
4711LD,Valkendonk,40,,
4711LD,Valkendonk,56,,
4711LD,Valkendonk,48,,
4711LD,Valkendonk,20,,
4711LD,Valkendonk,38,,
4711AJ,Verdistraat,7,,
4711AJ,Verdistraat,9,,
4711AJ,Verdistraat,3,,
4711JW,Vinkenstraat,27,,
4711JW,Vinkenstraat,9,,
4711JW,Vinkenstraat,7,,
4711JW,Vinkenstraat,13,,
4711JW,Vinkenstraat,15,,
4711JW,Vinkenstraat,17,,
4711JW,Vinkenstraat,19,,
4711JW,Vinkenstraat,21,,
4711JX,Vinkenstraat,53,,
4711JX,Vinkenstraat,61,,
4711JX,Vinkenstraat,65,,
4711JX,Vinkenstraat,67,,
4711JX,Vinkenstraat,47,,
4711JX,Vinkenstraat,33,,
4711JX,Vinkenstraat,35,,
4711JX,Vinkenstraat,37,,
4711JX,Vinkenstraat,41,,
4711JX,Vinkenstraat,49,,
4711JX,Vinkenstraat,51,,
4711JX,Vinkenstraat,45,,
4711JX,Vinkenstraat,55,,
4711JZ,Vinkenstraat,24,,
4711JZ,Vinkenstraat,28,,
4711JZ,Vinkenstraat,4,,
4711JZ,Vinkenstraat,8,,
4711JZ,Vinkenstraat,10,,
4711JZ,Vinkenstraat,6,,
4711JZ,Vinkenstraat,14,,
4711JZ,Vinkenstraat,16,A,
4711JZ,Vinkenstraat,16,D,
4711JZ,Vinkenstraat,16,F,
4711JZ,Vinkenstraat,16,E,
4711JZ,Vinkenstraat,18,A,
4711JZ,Vinkenstraat,18,B,
4711JZ,Vinkenstraat,18,D,
4711JZ,Vinkenstraat,18,F,
4711JZ,Vinkenstraat,18,C,
4711JZ,Vinkenstraat,16,G,
4711JZ,Vinkenstraat,16,H,
4711JZ,Vinkenstraat,16,K,
4711JZ,Vinkenstraat,16,L,
4711JZ,Vinkenstraat,16,J,
4711JZ,Vinkenstraat,18,G,
4711JZ,Vinkenstraat,18,K,
4711JZ,Vinkenstraat,18,L,
4711JZ,Vinkenstraat,18,J,
4711JZ,Vinkenstraat,22,,
4711JZ,Vinkenstraat,26,,
4711JZ,Vinkenstraat,18,H,
4711PX,de Vlaanders,24,,
4711PX,de Vlaanders,28,,
4711PX,de Vlaanders,16,,
4711PX,de Vlaanders,46,,
4711PX,de Vlaanders,48,,
4711PX,de Vlaanders,6,,
4711PX,de Vlaanders,44,,
4711PX,de Vlaanders,58,,
4711PX,de Vlaanders,10,,
4711PX,de Vlaanders,14,,
4711PX,de Vlaanders,2,,
4711PX,de Vlaanders,50,,
4711PX,de Vlaanders,42,,
4711PX,de Vlaanders,12,,
4711PX,de Vlaanders,60,,
4711PX,de Vlaanders,18,,
4711PX,de Vlaanders,34,,
4711PX,de Vlaanders,8,,
4711PX,de Vlaanders,52,,
4711PX,de Vlaanders,6,A,
4711PZ,de Vlaanders,49,,
4711PZ,de Vlaanders,53,,
4711PZ,de Vlaanders,7,,
4711PZ,de Vlaanders,5,,
4711PZ,de Vlaanders,45,,
4711PZ,de Vlaanders,43,,
4711PZ,de Vlaanders,17,,
4711PZ,de Vlaanders,19,,
4711PZ,de Vlaanders,13,,
4711PZ,de Vlaanders,11,,
4711PZ,de Vlaanders,23,,
4711PZ,de Vlaanders,25,,
4711PZ,de Vlaanders,41,,
4711PZ,de Vlaanders,1,,
4711PZ,de Vlaanders,15,,
4711PZ,de Vlaanders,51,,
4711PZ,de Vlaanders,47,,
4711PZ,de Vlaanders,3,,
4711EV,Vijverstraat,10,,
4711EV,Vijverstraat,12,,
4711GM,Vijverstraat,39,,
4711GM,Vijverstraat,33,,
4711GM,Vijverstraat,29,,
4711GM,Vijverstraat,47,,
4711GM,Vijverstraat,51,,
4711GM,Vijverstraat,37,,
4711GM,Vijverstraat,31,,
4711GM,Vijverstraat,27,,
4711GM,Vijverstraat,45,,
4711GM,Vijverstraat,37,A,
4711GM,Vijverstraat,35,,
4711GN,Vijverstraat,44,,
4711GN,Vijverstraat,44,B,
4711GN,Vijverstraat,40,,
4711GN,Vijverstraat,36,,
4711GN,Vijverstraat,46,,
4711GN,Vijverstraat,42,A,
4711GN,Vijverstraat,38,,
4711GP,Vijverstraat,55,A,
4711GP,Vijverstraat,48,,
4711GP,Vijverstraat,53,,
4711GP,Vijverstraat,57,,
4711GP,Vijverstraat,63,,
4711GP,Vijverstraat,65,,
4711GP,Vijverstraat,56,,
4711GP,Vijverstraat,60,,
4711GP,Vijverstraat,55,,
4711GP,Vijverstraat,58,,
4711GP,Vijverstraat,48,B,
4711GP,Vijverstraat,62,,
4711AK,Wagnerstraat,4,,
4711AK,Wagnerstraat,6,,
4711AK,Wagnerstraat,2,,
4711AK,Wagnerstraat,1,,
4711AA,Weberstraat,8,,
4711AA,Weberstraat,7,,
4711AA,Weberstraat,4,,
4711AA,Weberstraat,1,,
4711AA,Weberstraat,5,,
4711AA,Weberstraat,12,,
4711AA,Weberstraat,3,,
4711AA,Weberstraat,14,,
4711AA,Weberstraat,6,A,
4711AA,Weberstraat,12,A,
4711AA,Weberstraat,10,A,
4711AA,Weberstraat,4,A,
4711PG,Wilgenburg,8,,
4711PG,Wilgenburg,9,,
4711PG,Wilgenburg,11,,
4711PG,Wilgenburg,3,,
4711PG,Wilgenburg,4,,
4711PG,Wilgenburg,6,,
4711PG,Wilgenburg,5,,
4711PG,Wilgenburg,2,,
4711PJ,Wilgenrijs,78,,
4711PJ,Wilgenrijs,8,,
4711PJ,Wilgenrijs,10,,
4711PJ,Wilgenrijs,16,,
4711PJ,Wilgenrijs,14,,
4711PJ,Wilgenrijs,28,,
4711PJ,Wilgenrijs,26,,
4711PJ,Wilgenrijs,24,,
4711PJ,Wilgenrijs,20,,
