"postcode","huisnummer","huisletter","toevoeging"
"1713CA",17,"",""
1713CA,Eikenwal,17,,
1713HD,A C Bleijsstraat,2,,
1713HD,Adrianus Cyriacus Bleijsstraat,2,,
1713HD,A C Bleijsstraat,2,A,
1713HD,Adrianus Cyriacus Bleijsstraat,2,A,
1713HD,A C Bleijsstraat,4,,
1713HD,Adrianus Cyriacus Bleijsstraat,4,,
1713HD,A C Bleijsstraat,6,,
1713HD,Adrianus Cyriacus Bleijsstraat,6,,
1713HD,A C Bleijsstraat,8,,
1713HD,Adrianus Cyriacus Bleijsstraat,8,,
1713HD,A C Bleijsstraat,10,,
1713HD,Adrianus Cyriacus Bleijsstraat,10,,
1713HD,A C Bleijsstraat,12,,
1713HD,Adrianus Cyriacus Bleijsstraat,12,,
1713HD,A C Bleijsstraat,14,,
1713HD,Adrianus Cyriacus Bleijsstraat,14,,
1713HD,A C Bleijsstraat,16,,
1713HD,Adrianus Cyriacus Bleijsstraat,16,,
1713HD,A C Bleijsstraat,18,,
1713HD,Adrianus Cyriacus Bleijsstraat,18,,
1713HD,A C Bleijsstraat,20,,
1713HD,Adrianus Cyriacus Bleijsstraat,20,,
1713HD,A C Bleijsstraat,22,,
1713HD,Adrianus Cyriacus Bleijsstraat,22,,
1713HD,A C Bleijsstraat,24,,
1713HD,Adrianus Cyriacus Bleijsstraat,24,,
1713HD,A C Bleijsstraat,26,,
1713HD,Adrianus Cyriacus Bleijsstraat,26,,
1713HD,A C Bleijsstraat,28,,
1713HD,Adrianus Cyriacus Bleijsstraat,28,,
1713HD,A C Bleijsstraat,30,,
1713HD,Adrianus Cyriacus Bleijsstraat,30,,
1713HD,A C Bleijsstraat,32,,
1713HD,Adrianus Cyriacus Bleijsstraat,32,,
1713HK,Brugstraat,1,,
1713HK,Brugstraat,2,,
1713HK,Brugstraat,3,,
1713HK,Brugstraat,4,,
1713HK,Brugstraat,5,,
1713HK,Brugstraat,6,,
1713HK,Brugstraat,7,,
1713HK,Brugstraat,8,,
1713HK,Brugstraat,9,,
1713HK,Brugstraat,10,,
1713HK,Brugstraat,11,,
1713HK,Brugstraat,12,,
1713HK,Brugstraat,13,,
1713HK,Brugstraat,14,,
1713HK,Brugstraat,15,,
1713HK,Brugstraat,16,,
1713HK,Brugstraat,17,,
1713HK,Brugstraat,18,,
1713HK,Brugstraat,19,,
1713HK,Brugstraat,20,,
1713HK,Brugstraat,21,,
1713HK,Brugstraat,22,,
1713HV,Burgemeester de Boerlaan,1,,
1713HV,Burgemeester de Boerlaan,3,,
1713HV,Burgemeester de Boerlaan,5,,
1713HV,Burgemeester de Boerlaan,7,,
1713HV,Burgemeester de Boerlaan,9,,
1713HV,Burgemeester de Boerlaan,11,,
1713HV,Burgemeester de Boerlaan,13,,
1713HV,Burgemeester de Boerlaan,15,,
1713HV,Burgemeester de Boerlaan,17,,
1713HV,Burgemeester de Boerlaan,19,,
1713HV,Burgemeester de Boerlaan,21,,
1713HV,Burgemeester de Boerlaan,23,,
1713HV,Burgemeester de Boerlaan,25,,
1713HV,Burgemeester de Boerlaan,25,A,
1713HV,Burgemeester de Boerlaan,27,,
1713HW,Burgemeester de Boerlaan,2,,
1713HW,Burgemeester de Boerlaan,4,,
1713HW,Burgemeester de Boerlaan,6,,
1713HW,Burgemeester de Boerlaan,8,,
1713HW,Burgemeester de Boerlaan,10,,
1713HW,Burgemeester de Boerlaan,12,,
1713HW,Burgemeester de Boerlaan,14,,
1713HW,Burgemeester de Boerlaan,16,,
1713HW,Burgemeester de Boerlaan,18,,
1713HW,Burgemeester de Boerlaan,20,,
1713HL,Burgemeester De Nijsplein,1,,
1713HL,Burgemeester De Nijsplein,3,,
1713HL,Burgemeester De Nijsplein,7,,
1713HL,Burgemeester De Nijsplein,11,,
1713HL,Burgemeester De Nijsplein,13,,
1713HL,Burgemeester De Nijsplein,15,,
1713HL,Burgemeester De Nijsplein,17,,
1713HL,Burgemeester De Nijsplein,19,,
1713HL,Burgemeester De Nijsplein,21,,
1713HL,Burgemeester De Nijsplein,23,,
1713HG,Dorpsstraat,207,,
1713HK,Dorpsstraat,82,A,
1713HK,Dorpsstraat,82,B,
1713HK,Dorpsstraat,84,B,
1713HK,Dorpsstraat,84,C,
1713HK,Dorpsstraat,84,D,
1713HK,Dorpsstraat,84,E,
1713HK,Dorpsstraat,84,F,
1713HL,Dorpsstraat,132,D,
1713HL,Dorpsstraat,132,E,
1713HL,Dorpsstraat,132,F,
1713HL,Dorpsstraat,132,G,
1713HS,Handelskade,3,A,
1713HS,Handelskade,3,B,
1713GG,Hofland,2,B,
1713HT,Zwarteweg,5,,
1713GZ,Dubbelspoor,1,,
1713GZ,Dubbelspoor,9,,
1713GZ,Dubbelspoor,7,,
1713GZ,Dubbelspoor,7,,
1713GZ,Dubbelspoor,3,,
1713GZ,Dubbelspoor,11,,
1713GZ,Dubbelspoor,11,A,
1713JE,Kerkweg,10,,
1713JE,Kerkweg,11,,
1713JE,Kerkweg,11,,
1713JE,Kerkweg,15,,
1713JE,Kerkweg,14,,
1713JE,Kerkweg,17,,
1713JE,Kerkweg,16,,
1713JE,Kerkweg,13,,
1713JE,Kerkweg,13,,
1713HA,Dorpsstraat,1,,
1713HA,Dorpsstraat,1,B,
1713HA,Dorpsstraat,3,,
1713HA,Dorpsstraat,7,,
1713HA,Dorpsstraat,11,,
1713HA,Dorpsstraat,15,,
1713HA,Dorpsstraat,17,,
1713HA,Dorpsstraat,23,,
1713HA,Dorpsstraat,25,,
1713HA,Dorpsstraat,27,,
1713HA,Dorpsstraat,31,,
1713HA,Dorpsstraat,33,,
1713HA,Dorpsstraat,35,,
1713HA,Dorpsstraat,1,A,
1713HA,Dorpsstraat,1,,
1713HB,Dorpsstraat,37,,
1713HB,Dorpsstraat,39,,
1713HB,Dorpsstraat,43,,
1713HB,Dorpsstraat,45,,
1713HB,Dorpsstraat,47,,
1713HB,Dorpsstraat,49,,
1713HB,Dorpsstraat,51,,
1713HB,Dorpsstraat,53,,
1713HB,Dorpsstraat,55,,
1713HB,Dorpsstraat,57,,
1713HB,Dorpsstraat,59,,
1713HB,Dorpsstraat,59,a,
1713HB,Dorpsstraat,61,,
1713HB,Dorpsstraat,61,a,
1713HB,Dorpsstraat,61,b,
1713HB,Dorpsstraat,61,c,
1713HB,Dorpsstraat,63,A,
1713HB,Dorpsstraat,63,B,
1713HB,Dorpsstraat,63,C,
1713HB,Dorpsstraat,63,D,
1713HB,Dorpsstraat,63,E,
1713HB,Dorpsstraat,63,F,
1713HB,Dorpsstraat,65,A,
1713HB,Dorpsstraat,65,B,
1713HB,Dorpsstraat,65,C,
1713HB,Dorpsstraat,65,D,
1713HB,Dorpsstraat,65,E,
1713HB,Dorpsstraat,65,F,
1713HB,Dorpsstraat,67,A,
1713HB,Dorpsstraat,67,B,
1713HB,Dorpsstraat,67,C,
1713HB,Dorpsstraat,67,D,
1713HC,Dorpsstraat,71,,
1713HC,Dorpsstraat,73,,
1713HC,Dorpsstraat,75,,
1713HC,Dorpsstraat,77,,
1713HC,Dorpsstraat,77,,
1713HC,Dorpsstraat,79,,
1713HC,Dorpsstraat,81,,
1713HC,Dorpsstraat,85,,
1713HC,Dorpsstraat,85,a,
1713HC,Dorpsstraat,87,,
1713HC,Dorpsstraat,91,,
1713HC,Dorpsstraat,93,,
1713HC,Dorpsstraat,95,,
1713HC,Dorpsstraat,97,,
1713HC,Dorpsstraat,99,,
1713HC,Dorpsstraat,99,a,
1713HC,Dorpsstraat,101,,
1713HD,Dorpsstraat,103,,
1713HD,Dorpsstraat,105,,
1713HD,Dorpsstraat,107,,
1713HD,Dorpsstraat,109,,
1713HD,Dorpsstraat,111,,
1713HD,Dorpsstraat,113,,
1713HD,Dorpsstraat,115,,
1713HD,Dorpsstraat,115,a,
1713HD,Dorpsstraat,119,,
1713HD,Dorpsstraat,127,,
1713HD,Dorpsstraat,129,,
1713HD,Dorpsstraat,131,,
1713HD,Dorpsstraat,135,,
1713HD,Dorpsstraat,137,,
1713HD,Dorpsstraat,139,,
1713HD,Dorpsstraat,141,,
1713HD,Dorpsstraat,143,,
1713HD,Dorpsstraat,145,,
1713HD,Dorpsstraat,147,,
1713HD,Dorpsstraat,121,A,
1713HD,Dorpsstraat,121,B,
1713HD,Dorpsstraat,121,C,
1713HD,Dorpsstraat,121,D,
1713HD,Dorpsstraat,121,E,
1713HD,Dorpsstraat,121,F,
1713HD,Dorpsstraat,121,G,
1713HD,Dorpsstraat,121,H,
1713HD,Dorpsstraat,121,J,
1713HD,Dorpsstraat,121,K,
1713HD,Dorpsstraat,121,L,
1713HD,Dorpsstraat,121,M,
1713HD,Dorpsstraat,121,N,
1713HE,Dorpsstraat,149,,
1713HE,Dorpsstraat,151,,
1713HE,Dorpsstraat,155,,
1713HE,Dorpsstraat,157,,
1713HE,Dorpsstraat,159,,
1713HE,Dorpsstraat,161,,
1713HE,Dorpsstraat,163,,
1713HE,Dorpsstraat,165,,
1713HE,Dorpsstraat,169,,
1713HE,Dorpsstraat,171,,
1713HE,Dorpsstraat,173,,
1713HE,Dorpsstraat,175,,
1713HE,Dorpsstraat,177,,
1713HE,Dorpsstraat,181,,
1713HG,Dorpsstraat,183,,
1713HG,Dorpsstraat,187,,
1713HG,Dorpsstraat,189,,
1713HG,Dorpsstraat,189,a,
1713HG,Dorpsstraat,191,,
1713HG,Dorpsstraat,193,,
1713HG,Dorpsstraat,195,,
1713HG,Dorpsstraat,197,,
1713HG,Dorpsstraat,199,,
1713HG,Dorpsstraat,201,,
1713HG,Dorpsstraat,203,,
1713HG,Dorpsstraat,205,,
1713HG,Dorpsstraat,205,a,
1713HG,Dorpsstraat,207,,
1713HG,Dorpsstraat,209,,
1713HG,Dorpsstraat,211,,
1713HG,Dorpsstraat,211,a,
1713HG,Dorpsstraat,213,A,
1713HG,Dorpsstraat,213,,
1713HG,Dorpsstraat,215,,
1713HG,Dorpsstraat,217,,
1713HG,Dorpsstraat,217,a,
1713HG,Dorpsstraat,219,,
1713HG,Dorpsstraat,221,,
1713HG,Dorpsstraat,223,,
1713HG,Dorpsstraat,225,,
1713HG,Dorpsstraat,227,,
1713HH,Dorpsstraat,229,,
1713HH,Dorpsstraat,233,,
1713HH,Dorpsstraat,235,,
1713HH,Dorpsstraat,239,,
1713HH,Dorpsstraat,243,,
1713HH,Dorpsstraat,245,,
1713HH,Dorpsstraat,247,,
1713HH,Dorpsstraat,249,,
1713HH,Dorpsstraat,251,,
1713HH,Dorpsstraat,253,,
1713HH,Dorpsstraat,255,,
1713HH,Dorpsstraat,257,,
1713HH,Dorpsstraat,259,,
1713HH,Dorpsstraat,259,a,
1713HH,Dorpsstraat,261,,
1713HH,Dorpsstraat,263,,
1713HH,Dorpsstraat,263,,
1713HJ,Dorpsstraat,6,,
1713HJ,Dorpsstraat,8,,
1713HJ,Dorpsstraat,10,,
1713HJ,Dorpsstraat,12,,
1713HJ,Dorpsstraat,14,,
1713HJ,Dorpsstraat,18,,
1713HJ,Dorpsstraat,24,,
1713HJ,Dorpsstraat,26,,
1713HJ,Dorpsstraat,28,,
1713HJ,Dorpsstraat,30,,
1713HJ,Dorpsstraat,32,A,
1713HJ,Dorpsstraat,32,B,
1713HJ,Dorpsstraat,32,C,
1713HJ,Dorpsstraat,32,D,
1713HJ,Dorpsstraat,36,,
1713HJ,Dorpsstraat,38,,
1713HJ,Dorpsstraat,40,,
1713HJ,Dorpsstraat,40,a,
1713HJ,Dorpsstraat,42,,
1713HJ,Dorpsstraat,42,a,
1713HJ,Dorpsstraat,44,,
1713HJ,Dorpsstraat,44,a,
1713HJ,Dorpsstraat,46,,
1713HJ,Dorpsstraat,48,,
1713HJ,Dorpsstraat,50,,
1713HJ,Dorpsstraat,52,,
1713HJ,Dorpsstraat,20,,
1713HK,Dorpsstraat,56,,
