"postcode","huisnummer","huisletter","toevoeging"
"9493TA",107,"A",""
9493TA,Asserstraat,107,A,
9493TA,Groningerstraat,104,,
9493TA,Groningerstraat,116,,
9493TA,Groningerstraat,112,,
9493TB,Groningerstraat,122,,
9493TB,Groningerstraat,128,,
9493TD,Ydermade,4,,
9493TD,Ydermade,5,,
9493TD,Ydermade,2,a,
9493TD,Ydermade,2,,
9493TD,Ydermade,3,,
9493TG,Verlengde Kampstukkenweg,2,,
9493TH,Okkenveen,1,,
9493TH,Okkenveen,3,,
9493TH,Okkenveen,4,,
9493TH,Okkenveen,2,,
9493TH,Okkenveen,6,,
9493TH,Okkenveen,5,,
9493TA,Groningerstraat,102,,
9493TA,Groningerstraat,120,,
9493TA,Groningerstraat,118,a,
9493TA,Groningerstraat,118,,
9493TB,Groningerstraat,126,,
9493TD,Ydermade,1,,
9493TD,Ydermade,1,a,
9493TD,Ydermade,5,a,
9493TD,Ydermade,3,a,
9493TH,Okkenveen,5,,
9493TH,Okkenveen,5,,
9493TA,Groningerstraat,118,a,
9493TA,Groningerstraat,118,,
9493TA,Groningerstraat,118,a,
9493TD,Ydermade,1,,
9493TD,Ydermade,1,,
