"postcode","huisnummer","huisletter","toevoeging"
"9411SE",27,"P",""
"9413DP",18,"B",""
"9413DP",18,"E",""
"9413DP",20,"A",""
"9413DP",20,"D",""
"9413DP",18,"D",""
"9413DP",18,"C",""
"9413DP",20,"C",""
"9413DP",20,"B",""
9413DP,Jonkersvaart,18,B,
9413DP,Jonkersvaart,18,C,
9413DP,Jonkersvaart,18,D,
9413DP,Jonkersvaart,18,E,
9413DP,Jonkersvaart,20,A,
9413DP,Jonkersvaart,20,B,
9413DP,Jonkersvaart,20,C,
9413DP,Jonkersvaart,20,D,
9411SE,Witterstraat,27,P,
9411XK,Alting,22,,
9411XK,Alting,23,,
9411XK,Alting,24,,
9411XK,Alting,25,,
9411XK,Alting,26,,
9411XK,Alting,27,,
9411XK,Alting,27,A,
9411XK,Alting,27,B,
9411XK,Alting,28,,
9411XK,Alting,29,,
9411XK,Alting,30,,
9411XK,Alting,31,,
9411XK,Alting,32,,
9411XK,Alting,33,,
9411XK,Alting,34,,
9411XK,Alting,35,,
9411XK,Alting,36,,
9411XK,Alting,37,,
9411VA,Beilervaart,7,,
9411VA,Beilervaart,9,,
9411VA,Beilervaart,11,,
9411VA,Beilervaart,13,,
9411VA,Beilervaart,15,,
9411VA,Beilervaart,17,,
9411VA,Beilervaart,19,,
9411VA,Beilervaart,21,,
9411VA,Beilervaart,23,,
9411VA,Beilervaart,25,,
9411VA,Beilervaart,29,,
9411VA,Beilervaart,29,A,
9411VB,Beilervaart,31,,
9411VB,Beilervaart,33,,
9411VB,Beilervaart,35,,
9411VB,Beilervaart,37,,
9411VB,Beilervaart,39,,
9411VB,Beilervaart,41,,
9411VB,Beilervaart,43,,
9411VB,Beilervaart,45,,
9411VB,Beilervaart,45,A,
9411VB,Beilervaart,47,,
9411VB,Beilervaart,49,,
9411VB,Beilervaart,51,,
9411VC,Beilervaart,53,,
9411VC,Beilervaart,55,,
9411VC,Beilervaart,57,,
9411VC,Beilervaart,59,,
9411VC,Beilervaart,61,,
9411VC,Beilervaart,63,,
9411VC,Beilervaart,65,,
9411VC,Beilervaart,67,,
9411VC,Beilervaart,69,,
9411VC,Beilervaart,71,,
9411VC,Beilervaart,73,,
9411VC,Beilervaart,75,,
9411VC,Beilervaart,77,A,
9411VC,Beilervaart,79,,
9411VD,Beilervaart,81,,
9411VD,Beilervaart,83,,
9411VD,Beilervaart,85,,
9411VD,Beilervaart,87,,
9411VD,Beilervaart,89,,
9411VD,Beilervaart,91,,
9411VD,Beilervaart,93,,
9411VD,Beilervaart,95,,
9411VD,Beilervaart,97,,
9411VD,Beilervaart,99,,
9411VE,Beilervaart,12,,
9411VE,Beilervaart,14,,
9411VE,Beilervaart,16,,
9411VE,Beilervaart,32,,
9411VE,Beilervaart,44,,
9411VE,Beilervaart,46,,
9411VE,Beilervaart,80,,
9411VG,Beilervaart,102,,
9411VG,Beilervaart,104,,
9411VH,Beilervaart,108,,
9411VH,Beilervaart,108,A,
9411VH,Beilervaart,110,,
9411VH,Beilervaart,112,,
9411VH,Beilervaart,114,,
9411VH,Beilervaart,116,,
9411VK,Brunsting,2,,
9411VK,Brunsting,3,,
9411VK,Brunsting,4,,
9411VK,Brunsting,5,,
9411VK,Brunsting,6,,
9411VK,Brunsting,6,A,
9411VK,Brunsting,7,,
9411VK,Brunsting,8,,
9411VK,Brunsting,9,,
9411VK,Brunsting,10,,
9411VK,Brunsting,11,,
9411VL,Brunsting,12,,
9411VL,Brunsting,13,,
9411VL,Brunsting,13,A,
9411VL,Brunsting,14,,
9411VL,Brunsting,15,,
9411VL,Brunsting,17,,
9411VL,Brunsting,18,,
9411VL,Brunsting,19,,
9411VL,Brunsting,20,,
9411VL,Brunsting,21,,
9411VL,Brunsting,21,A,
9411VL,Brunsting,22,,
9411VL,Brunsting,23,,
9411VL,Brunsting,25,,
9411VL,Brunsting,27,,
9411VL,Brunsting,27,A,
9411VM,Brunsting,29,,
9411VM,Brunsting,31,,
9411VM,Brunsting,32,,
9411VM,Brunsting,34,A,
9411VM,Brunsting,35,,
9411VM,Brunsting,36,,
9411VM,Brunsting,37,,
9411VM,Brunsting,38,,
9411VM,Brunsting,39,,
9411VJ,Brunstingerveld,2,,
9411VJ,Brunstingerveld,4,,
9411VJ,Brunstingerveld,6,,
9411VJ,Brunstingerveld,12,,
9411VJ,Brunstingerveld,14,,
9411VJ,Brunstingerveld,14,A,
9411VJ,Brunstingerveld,16,,
9411VJ,Brunstingerveld,18,,
9411VJ,Brunstingerveld,20,,
9411VN,De Musels,1,,
9411VN,De Musels,2,,
9411VN,De Musels,2,A,
9411VN,De Musels,3,,
9411VN,De Musels,4,,
9413AJ,Dovenetellaan,3,,
9413AJ,Dovenetellaan,5,,
9413AJ,Dovenetellaan,6,,
9413AJ,Dovenetellaan,8,,
9413AJ,Dovenetellaan,9,,
9413AJ,Dovenetellaan,11,,
9413AJ,Dovenetellaan,13,,
9413AJ,Dovenetellaan,15,,
9413AJ,Dovenetellaan,17,,
9411XA,Eursing,1,,
9411XA,Eursing,3,,
9411XA,Eursing,5,,
9411XA,Eursing,5,A,
9411XA,Eursing,5,B,
9411XA,Eursing,5,C,
9411XA,Eursing,5,D,
9411XA,Eursing,5,E,
9411XA,Eursing,5,F,
9411XA,Eursing,5,G,
9411XA,Eursing,7,A,
9411XA,Eursing,7,B,
9411XA,Eursing,7,C,
9411XA,Eursing,7,D,
9411XA,Eursing,9,,
9411XA,Eursing,11,,
9411XA,Eursing,13,,
9411XA,Eursing,15,,
9411XA,Eursing,17,,
9411XA,Eursing,25,,
9411XB,Eursing,27,,
9411XB,Eursing,29,,
9411XB,Eursing,31,,
9411XB,Eursing,33,,
9411XB,Eursing,35,,
9411XB,Eursing,37,,
9411XB,Eursing,37,A,
9411XB,Eursing,39,,
9411XB,Eursing,43,,
9411XB,Eursing,45,,
9411XB,Eursing,47,,
9411XB,Eursing,49,,
9411XB,Eursing,51,,
9411XB,Eursing,53,,
9411XC,Eursing,2,,
9411XC,Eursing,2,A,
9411XC,Eursing,6,,
9411XC,Eursing,8,,
9411XC,Eursing,10,,
9411XC,Eursing,10,A,
9411XC,Eursing,10,B,
9411XC,Eursing,12,,
9411XC,Eursing,10,A,
9411XC,Eursing,12,,
9411XC,Eursing,14,,
9411XC,Eursing,24,,
9411XD,Eursing,26,,
9411XD,Eursing,28,,
9411XD,Eursing,30,,
9411XD,Eursing,32,,
9411XD,Eursing,34,,
9411XD,Eursing,36,,
9411XD,Eursing,38,,
9411XD,Eursing,40,,
9411XD,Eursing,42,,
9411XD,Eursing,42,B,
9411XD,Eursing,44,,
9411XD,Eursing,46,,
9411TL,Holthe,1,,
9411TL,Holthe,2,,
9411TL,Holthe,3,,
9411TL,Holthe,3,A,
9411TL,Holthe,60,,
9411TL,Holthe,61,,
9411TL,Holthe,62,,
9411TL,Holthe,63,,
9411TL,Holthe,64,,
9411TL,Holthe,65,,
9411TL,Holthe,66,,
9411TM,Holthe,4,,
9411TM,Holthe,5,,
9411TM,Holthe,5,A,
9411TM,Holthe,6,,
9411TM,Holthe,7,,
9411TM,Holthe,8,,
9411TM,Holthe,9,,
9411TM,Holthe,11,,
9411TM,Holthe,12,,
9411TM,Holthe,14,,
9411TM,Holthe,14,A,
9411TM,Holthe,15,,
9411TM,Holthe,16,,
9411TM,Holthe,17,,
9411TM,Holthe,18,,
9411TM,Holthe,19,,
9411TM,Holthe,20,,
9411TM,Holthe,20,A,
9411TM,Holthe,20,B,
9411TN,Holthe,37,D,
9411TN,Holthe,37,E,
9411TN,Holthe,38,,
9411TN,Holthe,38,A,
9411TN,Holthe,39,,
9411TN,Holthe,21,,
9411TN,Holthe,22,,
9411TN,Holthe,23,,
9411TN,Holthe,24,,
9411TN,Holthe,25,,
9411TN,Holthe,27,,
9411TN,Holthe,28,,
9411TN,Holthe,29,,
9411TN,Holthe,30,,
9411TN,Holthe,31,,
9411TN,Holthe,32,,
9411TN,Holthe,33,,
9411TN,Holthe,35,,
9411TN,Holthe,36,,
9411TN,Holthe,37,,
9411TN,Holthe,37,A,
9411TN,Holthe,37,B,
9411TN,Holthe,37,C,
9411TP,Holthe,40,,
9411TP,Holthe,41,,
9411TP,Holthe,42,,
9411TP,Holthe,43,,
9411TP,Holthe,44,,
9411TP,Holthe,45,,
9411TP,Holthe,47,,
9411TP,Holthe,48,,
9411TP,Holthe,49,,
9411TP,Holthe,50,,
9411TP,Holthe,51,,
9411TP,Holthe,52,,
9411TP,Holthe,53,,
9411TP,Holthe,54,,
9411TP,Holthe,55,,
9411TP,Holthe,56,,
9411TP,Holthe,57,,
9411TP,Holthe,58,,
9411XE,Klatering,10,,
9411XE,Klatering,11,,
9411XE,Klatering,12,,
9411XE,Klatering,13,,
9411XE,Klatering,14,,
9411XE,Klatering,15,,
9411XE,Klatering,2,,
9411XE,Klatering,3,,
9411XE,Klatering,4,,
9411XE,Klatering,5,,
9411XE,Klatering,6,,
9411XE,Klatering,7,,
9411XE,Klatering,8,,
9411XG,Klatering,16,,
9411XG,Klatering,17,,
9411XG,Klatering,18,,
9411XG,Klatering,19,,
9411XG,Klatering,20,,
9411XG,Klatering,20,A,
9411XG,Klatering,21,,
9411XG,Klatering,22,,
9411XG,Klatering,23,,
9411XG,Klatering,24,,
9411XG,Klatering,24,A,
9411XG,Klatering,24,B,
9411XG,Klatering,24,C,
9411XG,Klatering,24,D,
9411XG,Klatering,25,,
9411XH,Klatering,26,,
9411XH,Klatering,27,,
9411XH,Klatering,28,,
9411XH,Klatering,29,,
9411XH,Klatering,30,,
9411XH,Klatering,31,,
9411XH,Klatering,32,,
9411XH,Klatering,33,,
9411XH,Klatering,34,,
9411XH,Klatering,35,,
9411XH,Klatering,36,,
9411XH,Klatering,37,,
9411TC,Lieving,37,,
9411TC,Lieving,39,,
9411TC,Lieving,43,,
9411TC,Lieving,45,,
9411TC,Lieving,45,A,
9411TC,Lieving,45,B,
9411TC,Lieving,47,,
9411TC,Lieving,49,,
9411TC,Lieving,53,,
9411TC,Lieving,55,,
9411TC,Lieving,57,,
9411TC,Lieving,59,,
9411TC,Lieving,61,,
9411TE,Lieving,40,,
9411TE,Lieving,42,,
9411TE,Lieving,42,A,
9411TE,Lieving,44,,
9411TE,Lieving,46,A,
9411TE,Lieving,48,,
9411TE,Lieving,50,,
9411TE,Lieving,52,,
9411TG,Lieving,54,,
9411TG,Lieving,54,A,
9411TG,Lieving,56,,
9411TG,Lieving,58,,
9411TG,Lieving,60,,
9411TG,Lieving,62,,
9411TG,Lieving,64,,
9411TG,Lieving,64,A,
9411TG,Lieving,68,,
9411TG,Lieving,70,,
9411TG,Lieving,72,,
9411TG,Lieving,74,,
9411TG,Lieving,76,,
9411TH,Makkum,1,,
9411TH,Makkum,3,,
9411TH,Makkum,5,,
9411TH,Makkum,7,,
9411TH,Makkum,17,,
9411TH,Makkum,19,,
9411TH,Makkum,25,,
9411TH,Makkum,27,,
9411TH,Makkum,35,,
9411TJ,Makkum,2,,
9411TJ,Makkum,2,A,
9411TJ,Makkum,4,,
9411TJ,Makkum,4,A,
9411TJ,Makkum,4,B,
9411TJ,Makkum,4,C,
9411TJ,Makkum,4,D,
9411TJ,Makkum,4,E,
9411TJ,Makkum,6,,
9411TJ,Makkum,8,,
9411TJ,Makkum,10,,
9411TJ,Makkum,12,,
9411TJ,Makkum,12,A,
9411TJ,Makkum,16,,
9411TJ,Makkum,18,,
9411TJ,Makkum,20,,
9411TJ,Makkum,22,,
9411TJ,Makkum,24,,
9411TJ,Makkum,26,,
9411TJ,Makkum,28,,
9411TK,Makkum,32,,
9411TK,Makkum,34,,
9411TK,Makkum,36,,
9411TK,Makkum,38,,
9411TK,Makkum,40,,
9411TK,Makkum,42,,
9413AX,Morgensterlaan,16,,
9411VR,Ossebroeken,2,,
9411VR,Ossebroeken,3,,
9411VR,Ossebroeken,4,,
9411VR,Ossebroeken,17,,
9411VR,Ossebroeken,24,,
9411VR,Ossebroeken,26,,
9411SB,Romhof,7,,
9411SB,Romhof,15,,
9411SB,Romhof,25,,
9411SB,Romhof,27,,
9411SB,Romhof,31,,
9411SB,Romhof,33,,
9411SB,Romhof,35,,
9411SB,Romhof,37,,
9411SB,Romhof,39,,
9411SB,Romhof,41,,
9411SB,Romhof,43,,
9411TS,Smalbroek,5,,
9411TS,Smalbroek,7,,
9411TS,Smalbroek,9,,
9411TS,Smalbroek,11,,
9411TS,Smalbroek,13,,
9411TS,Smalbroek,13,A,
9411TS,Smalbroek,15,,
9411TS,Smalbroek,19,,
9411TS,Smalbroek,21,,
9411TS,Smalbroek,23,,
9411TS,Smalbroek,25,,
9411TS,Smalbroek,27,,
9411TS,Smalbroek,27,A,
9411TS,Smalbroek,29,,
9411TS,Smalbroek,31,,
9411TS,Smalbroek,33,,
9411TS,Smalbroek,33,A,
9411TS,Smalbroek,37,,
9411TT,Smalbroek,4,,
9411TT,Smalbroek,6,,
9411TT,Smalbroek,8,,
9411TT,Smalbroek,10,,
9411TT,Smalbroek,12,,
9411TT,Smalbroek,14,,
9411TT,Smalbroek,16,,
9411TT,Smalbroek,20,,
9411TT,Smalbroek,22,,
9411TT,Smalbroek,22,A,
9411TT,Smalbroek,24,,
9411TV,Smalbroek,26,,
9411TV,Smalbroek,28,,
9411TV,Smalbroek,30,,
9411TV,Smalbroek,32,,
9411TV,Smalbroek,36,,
9411TV,Smalbroek,40,,
9411TV,Smalbroek,42,,
9411TV,Smalbroek,44,,
9411TV,Smalbroek,46,,
9411TV,Smalbroek,46,A,
9411TV,Smalbroek,48,,
9411TV,Smalbroek,50,,
9411TR,Terhorst,1,,
9411TR,Terhorst,2,,
9411TR,Terhorst,3,,
9411TR,Terhorst,5,,
9411TR,Terhorst,7,,
9411TR,Terhorst,9,,
9411TR,Terhorst,10,,
9411TR,Terhorst,11,,
9411TR,Terhorst,15,,
9411TR,Terhorst,16,,
9411TR,Terhorst,17,,
9411TR,Terhorst,19,,
9411TR,Terhorst,21,,
9411TR,Terhorst,23,,
9411TZ,Tolmaatsweg,2,,
9411VP,Vorrelveen,2,,
9411VP,Vorrelveen,4,,
9411VP,Vorrelveen,6,,
9411VP,Vorrelveen,8,,
9411VP,Vorrelveen,10,,
9411VP,Vorrelveen,12,,
9411VP,Vorrelveen,12,A,
9411VP,Vorrelveen,14,,
9411VP,Vorrelveen,16,,
9411VP,Vorrelveen,18,,
9411VP,Vorrelveen,20,,
9411VP,Vorrelveen,22,,
9411VP,Vorrelveen,24,,
9411VP,Vorrelveen,26,,
9411VP,Vorrelveen,28,,
9411VP,Vorrelveen,30,,
9411TW,Smalhorst,1,,
9411TW,Rijksweg,2,,
9411SE,Bathoorn,1,A,
9411SE,Bathoorn,2,,
9411SE,Bathoorn,6,,
9411SE,Bathoorn,5,,
9411SE,Bathoorn,3,,
9411SE,Bathoorn,1,,
9411VC,Beilervaart,55,A,
9411VN,De Musels,6,,
9413AJ,Dovenetellaan,2,,
9413AX,Morgensterlaan,42,,
9413AX,Morgensterlaan,40,,
9413AX,Morgensterlaan,38,,
9413AX,Morgensterlaan,36,,
9413AX,Morgensterlaan,34,,
9413AX,Morgensterlaan,32,,
9413AX,Morgensterlaan,30,,
9413AX,Morgensterlaan,24,,
9413AX,Morgensterlaan,26,,
9413AX,Morgensterlaan,2,,
9413AX,Morgensterlaan,4,,
9413AX,Morgensterlaan,6,,
9413AX,Morgensterlaan,8,,
9413AX,Morgensterlaan,10,,
9413AX,Morgensterlaan,12,,
9413AX,Morgensterlaan,14,,
9413AX,Morgensterlaan,18,,
9413AX,Morgensterlaan,20,,
9413AX,Morgensterlaan,44,,
9413AX,Morgensterlaan,46,,
9413AX,Morgensterlaan,48,,
9413AX,Morgensterlaan,50,,
9413AX,Morgensterlaan,28,,
9411VR,Ossebroeken,28,,
9411VR,Ossebroeken,32,,
9411VR,Ossebroeken,5,,
9411VR,Ossebroeken,20,,
9411VR,Ossebroeken,8,A,
9411VR,Ossebroeken,11,N,
9411VR,Ossebroeken,34,,
9411VR,Ossebroeken,34,A,
9411VR,Ossebroeken,30,,
9411VR,Ossebroeken,9,,
9411VR,Ossebroeken,11,M,
9411VR,Ossebroeken,11,G,
9411VR,Ossebroeken,11,F,
9411VR,Ossebroeken,11,E,
9411VR,Ossebroeken,11,D,
9411VR,Ossebroeken,11,C,
9411VR,Ossebroeken,11,B,
9411VR,Ossebroeken,11,A,
9411VR,Ossebroeken,11,H,
9411VR,Ossebroeken,11,I,
9411VR,Ossebroeken,11,J,
9411VR,Ossebroeken,11,K,
9411VR,Ossebroeken,11,L,
9411SB,Romhof,29,,
9411SB,Romhof,21,,
9411SB,Romhof,3,,
9411SB,Romhof,49,A,
9411SB,Romhof,49,,
9411SB,Romhof,47,,
9411SB,Romhof,45,,
9411SC,Romhof,6,,
9411SC,Romhof,8,,
9411SC,Romhof,4,,
9411SC,Romhof,4,A,
9411SC,Romhof,14,,
9411SC,Romhof,10,,
9413BE,Zeepkruidlaan,3,,
9413BE,Zeepkruidlaan,5,,
9413BE,Zeepkruidlaan,7,,
9413BE,Zeepkruidlaan,9,,
9413BE,Zeepkruidlaan,11,,
9413BE,Zeepkruidlaan,13,,
9413BE,Zeepkruidlaan,15,,
9413BE,Zeepkruidlaan,17,,
9413BE,Zeepkruidlaan,2,,
9413BE,Zeepkruidlaan,4,,
9413BE,Zeepkruidlaan,6,,
9414TM,Kanaal Z.Z.,1,,
9414TM,Kanaal Z.Z.,3,,
9413DA,Biggekruid,10,,
9413DA,Biggekruid,12,,
9413DA,Biggekruid,14,,
9413DA,Biggekruid,16,,
9413DA,Biggekruid,18,,
9413DA,Biggekruid,20,,
9413DA,Biggekruid,2,,
9413DA,Biggekruid,8,,
9413DA,Biggekruid,6,,
9413DA,Biggekruid,4,,
9413DC,Dalkruid,2,,
9413DC,Dalkruid,1,,
9413DC,Dalkruid,3,,
9413DC,Dalkruid,5,,
9413DC,Dalkruid,7,,
9413DC,Dalkruid,9,,
9413DC,Dalkruid,11,,
9413DC,Dalkruid,13,,
9413DC,Dalkruid,15,,
9413DC,Dalkruid,22,,
9413DC,Dalkruid,20,,
9413DC,Dalkruid,18,,
9413DC,Dalkruid,16,,
9413DC,Dalkruid,14,,
9413DC,Dalkruid,12,,
9413DC,Dalkruid,10,,
9413DC,Dalkruid,8,,
9413DC,Dalkruid,6,,
9413DC,Dalkruid,4,,
9413DD,Ranonkel,2,,
9413DD,Ranonkel,4,,
9413DD,Ranonkel,6,,
9413DD,Ranonkel,8,,
9413DD,Ranonkel,10,,
9413DD,Ranonkel,12,,
9413DD,Ranonkel,14,,
9413DD,Ranonkel,11,,
9413DD,Ranonkel,9,,
9413DD,Ranonkel,7,,
9413DD,Ranonkel,5,,
9413DD,Ranonkel,3,,
9413DD,Ranonkel,1,,
9413CG,Distelbrink,2,,
9413CG,Distelbrink,4,,
9413CG,Distelbrink,6,,
9413CG,Distelbrink,8,,
9413CG,Distelbrink,10,,
9413CG,Distelbrink,12,,
9413CG,Distelbrink,14,,
9413CG,Distelbrink,16,,
9413CG,Distelbrink,18,,
9413CG,Distelbrink,20,,
9413CG,Distelbrink,22,,
9413CG,Distelbrink,24,,
9413CG,Distelbrink,1,,
9413CG,Distelbrink,3,,
9413CG,Distelbrink,5,,
9413CG,Distelbrink,7,,
9413CG,Distelbrink,9,,
9413CG,Distelbrink,11,,
9413CG,Distelbrink,13,,
9413CG,Distelbrink,15,,
9413CG,Distelbrink,17,,
9413CG,Distelbrink,19,,
9413CG,Distelbrink,21,,
9413CG,Distelbrink,23,,
9413CJ,Wilgenroosjelaan,6,,
9413CJ,Wilgenroosjelaan,8,,
9413CJ,Wilgenroosjelaan,10,,
9413CJ,Wilgenroosjelaan,4,,
9413CJ,Wilgenroosjelaan,2,,
9413CC,Pitruslaan,9,,
9413CH,Ridderspoorlaan,22,,
9413CH,Ridderspoorlaan,2,,
9413CH,Ridderspoorlaan,4,,
9413CH,Ridderspoorlaan,18,,
9413CH,Ridderspoorlaan,16,,
9413CH,Ridderspoorlaan,14,,
9413CH,Ridderspoorlaan,12,,
9413CH,Ridderspoorlaan,10,,
9413CH,Ridderspoorlaan,8,,
9413CH,Ridderspoorlaan,6,,
9411SE,Bathoorn,4,,
9411SE,Bathoorn,1,A,
9411SE,Bathoorn,6,A,
9411SE,Bathoorn,4,,
9411SE,Bathoorn,4,B,
9411VA,Beilervaart,7,S,1
9411VA,Beilervaart,7,S,2
9411VA,Beilervaart,7,S,3
9411VA,Beilervaart,15,T,1
9411VA,Beilervaart,9,,
9411VA,Beilervaart,9,A,
9411VB,Beilervaart,45,T,1
9411VB,Beilervaart,37,A,
9411VB,Beilervaart,51,,
