"postcode","huisnummer","huisletter","toevoeging"
"7461BS",1,"",""
"7461BS",1,"",""
"7461KA",7,"",""
7461KA,Toefmars,7,,
7461BS,Kerkstraat,1,,
7461BW,Albertsdijk,20,,
7461BX,Bloemstraat,1,,
7461BX,Bloemstraat,3,,
7461BX,Bloemstraat,5,,
7461BX,Bloemstraat,7,,
7461BX,Bloemstraat,9,,
7461BX,Bloemstraat,11,,
7461BX,Bloemstraat,13,,
7461BX,Bloemstraat,15,,
7461BX,Bloemstraat,17,,
7461BX,Bloemstraat,19,,
7461BX,Bloemstraat,21,,
7461BX,Bloemstraat,23,,
7461BX,Bloemstraat,25,,
7461BX,Bloemstraat,27,,
7461BZ,Bloemstraat,10,,
7461BZ,Bloemstraat,12,,
7461BZ,Bloemstraat,14,,
7461BZ,Bloemstraat,16,,
7461BZ,Bloemstraat,18,,
7461BZ,Bloemstraat,20,,
7461BZ,Bloemstraat,20,A,
7461BZ,Bloemstraat,22,,
7461BZ,Bloemstraat,24,,
7461CE,De Zaagkoele,2,,
7461CE,De Zaagkoele,4,,
7461CE,De Zaagkoele,6,,
7461CE,De Zaagkoele,8,,
7461CE,De Zaagkoele,10,,
7461CE,De Zaagkoele,12,,
7461CE,De Zaagkoele,14,,
7461CE,De Zaagkoele,16,,
7461CE,De Zaagkoele,18,,
7461CE,De Zaagkoele,20,,
7461CE,Enterstraat,1,,
7461CE,Enterstraat,1,A,
7461CE,Enterstraat,3,,
7461CE,Enterstraat,5,,
7461CE,Enterstraat,7,,
7461CE,Enterstraat,11,,
7461CE,Enterstraat,9,,
7461CE,Enterstraat,13,,
7461CE,Enterstraat,13,A,
7461CE,Enterstraat,13,B,
7461CE,Enterstraat,13,C,
7461CE,Enterstraat,15,,
7461CE,Enterstraat,17,,
7461CE,Enterstraat,19,,
7461CE,Enterstraat,21,,
7461CE,Enterstraat,23,,
7461CE,Enterstraat,25,,101
7461CE,Enterstraat,25,,102
7461CE,Enterstraat,25,,201
7461CE,Enterstraat,25,,202
7461CE,Enterstraat,25,A,
7461CE,Enterstraat,27,,
7461CE,Enterstraat,27,A,
7461CE,Enterstraat,27,B,
7461CE,Enterstraat,29,,
7461CG,Enterstraat,31,,
7461CG,Enterstraat,33,,
7461CG,Enterstraat,33,A,
7461CG,Enterstraat,35,,
7461CG,Enterstraat,37,,
7461CG,Enterstraat,37,A,
7461CG,Enterstraat,39,,
7461CG,Enterstraat,39,A,
7461CG,Enterstraat,41,,
7461CG,Enterstraat,41,A,
7461CG,Enterstraat,45,,
7461CG,Enterstraat,49,,
7461CG,Enterstraat,51,,
7461CG,Enterstraat,55,,
7461CG,Enterstraat,57,,
7461CG,Enterstraat,59,,
7461CG,Enterstraat,59,B,
7461CG,Enterstraat,61,,
7461CG,Enterstraat,63,,
7461CG,Enterstraat,65,,
7461CG,Enterstraat,67,,
7461CB,Hangerad,1,,
7461CB,Hangerad,3,,
7461CB,Hangerad,5,,
7461CB,Hangerad,9,,
7461CB,Hangerad,11,,
7461CB,Hangerad,13,,
7461CB,Hangerad,15,,
7461CB,Hangerad,17,,
7461CB,Hangerad,19,,
7461CB,Hangerad,21,,
7461CB,Hangerad,23,,
7461CB,Hangerad,23,A,
7461CB,Hangerad,25,,
7461CB,Hangerad,27,,
7461CB,Hangerad,29,,
7461CB,Hangerad,31,,
7461CB,Hangerad,33,,
7461CB,Hangerad,35,,
7461CB,Hangerad,35,A,
7461CB,Hangerad,39,,
7461CC,Hangerad,4,,
7461CC,Hangerad,6,,
7461CC,Hangerad,8,,
7461CC,Hangerad,12,,
7461CC,Hangerad,18,,
7461CC,Hangerad,20,,
7461CC,Hangerad,22,,
7461CC,Hangerad,24,,
7461CC,Hangerad,24,A,
7461CC,Hangerad,28,,
7461CC,Hangerad,30,,
7461CC,Hangerad,32,,
7461CC,Hangerad,34,,
7461CC,Hangerad,36,,
7461CC,Hangerad,38,,
7461CC,Hangerad,40,,
7461CC,Hangerad,42,,
7461BT,Het Nieuwe Veer,8,,
7461BT,Het Nieuwe Veer,10,,
7461BT,Het Nieuwe Veer,12,,
7461BV,Het Nieuwe Veer,5,,
7461BV,Het Nieuwe Veer,7,,
7461BV,Het Nieuwe Veer,9,,
7461BV,Het Nieuwe Veer,11,,
7461PV,Kasteellaan,1,,KANT
7461PV,Kasteellaan,1,,
7461PV,Kasteellaan,1,B,
7461PV,Kasteellaan,9,,
7461BP,Kösterspad,4,,
7461BP,Kösterspad,6,,
7461BR,Kösterspad,1,,
7461BR,Kösterspad,3,,
7461BR,Kösterspad,5,,
7461BR,Kösterspad,7,,
7461BR,Kösterspad,9,,
7461BJ,Molenbeekpark,1,,
7461BJ,Molenbeekpark,3,,
7461BJ,Molenbeekpark,5,,
7461BJ,Molenbeekpark,7,,
7461BJ,Molenbeekpark,9,,
7461BN,Oosterhofweg,126,,
7461BN,Oosterhofweg,128,,
7461BN,Oosterhofweg,130,,
7461BN,Oosterhofweg,132,,
7461BN,Oosterhofweg,134,,
7461BN,Oosterhofweg,148,,
7461BN,Oosterhofweg,150,,
7461BN,Oosterhofweg,152,,
7461BT,Oosterhofweg,3,,
7461BT,Oosterhofweg,1,,
7461BT,Oosterhofweg,9,,
7461BT,Oosterhofweg,11,,
7461BT,Oosterhofweg,13,,
7461BT,Oosterhofweg,15,,
7461BT,Oosterhofweg,21,,
7461BT,Oosterhofweg,23,,
7461BT,Oosterhofweg,25,,
7461BT,Oosterhofweg,27,,
7461BT,Oosterhofweg,29,,
7461BT,Oosterhofweg,29,A,
7461BT,Oosterhofweg,31,,
7461BT,Oosterhofweg,33,,
7461BT,Oosterhofweg,39,,
7461BT,Oosterhofweg,39,A,
7461BT,Oosterhofweg,41,,
7461BT,Oosterhofweg,43,,
7461BT,Oosterhofweg,45,,
7461BT,Oosterhofweg,47,,
7461BT,Oosterhofweg,49,,
7461BT,Oosterhofweg,49,B,
7461BT,Oosterhofweg,51,,
7461BT,Oosterhofweg,51,B,
7461BT,Oosterhofweg,125,,
7461BT,Oosterhofweg,127,,
7461BV,Oosterhofweg,2,,
7461BV,Oosterhofweg,2,B,
7461BV,Oosterhofweg,2,B,
7461BV,Oosterhofweg,2,C,
7461BV,Oosterhofweg,4,,
7461BV,Oosterhofweg,6,,
7461BV,Oosterhofweg,14,,
7461BV,Oosterhofweg,18,,
7461BV,Oosterhofweg,20,,
7461BV,Oosterhofweg,22,,
7461BV,Oosterhofweg,24,,
7461BV,Oosterhofweg,26,,
7461BV,Oosterhofweg,28,,
7461BV,Oosterhofweg,30,,
7461BV,Oosterhofweg,32,,
7461BV,Oosterhofweg,34,,
7461BV,Oosterhofweg,36,,
7461BV,Oosterhofweg,38,,
7461BV,Oosterhofweg,40,,
7461BV,Oosterhofweg,42,,
7461BV,Oosterhofweg,44,,
7461BW,Oosterhofweg,46,,
7461BW,Oosterhofweg,48,,
7461BW,Oosterhofweg,50,,
7461BW,Oosterhofweg,52,,
7461BW,Oosterhofweg,54,,
7461BW,Oosterhofweg,56,,
7461BW,Oosterhofweg,58,,
7461BW,Oosterhofweg,60,,
7461BW,Oosterhofweg,62,,
7461BW,Oosterhofweg,64,,
7461BW,Oosterhofweg,76,,
7461BW,Oosterhofweg,78,,
7461BW,Oosterhofweg,80,,
7461BW,Oosterhofweg,82,,
7461BW,Oosterhofweg,84,,
7461BW,Oosterhofweg,86,,
7461BW,Oosterhofweg,88,,
7461BW,Oosterhofweg,90,,
7461BW,Oosterhofweg,92,,
7461BW,Oosterhofweg,94,,
7461BW,Oosterhofweg,96,,
7461BW,Oosterhofweg,98,,
7461BW,Oosterhofweg,112,,
7461BW,Oosterhofweg,114,,
7461BW,Oosterhofweg,116,,
7461BW,Oosterhofweg,118,,
7461BW,Oosterhofweg,120,,
7461BW,Oosterhofweg,122,,
7461BW,Oosterhofweg,124,,
7461BX,Oosterhofweg,162,,
7461BX,Oosterhofweg,164,,
7461PV,Oosterhofweg,170,,
7461PV,Oosterhofweg,244,,
7461PV,Oosterhofweg,248,,
7461PV,Oosterhofweg,250,,
7461GJ,Oude Veemarkt,5,,
7461GJ,Oude Veemarkt,7,,
7461GJ,Oude Veemarkt,9,,
7461GJ,Oude Veemarkt,11,,
7461GJ,Oude Veemarkt,13,,
7461GJ,Oude Veemarkt,19,,
7461BN,Park de Eschhorst,1,,
7461BN,Park de Eschhorst,2,,
7461BN,Park de Eschhorst,3,,
7461BN,Park de Eschhorst,4,,
7461BN,Park de Eschhorst,5,,
7461BN,Park de Eschhorst,6,,
7461BN,Park de Eschhorst,7,,
7461BN,Park de Eschhorst,8,,
7461BN,Park de Eschhorst,9,,
7461BN,Park de Eschhorst,10,,
7461BN,Park de Eschhorst,11,,
7461BN,Park de Eschhorst,12,,
7461BN,Park de Eschhorst,13,,
7461BN,Park de Eschhorst,14,,
7461BN,Park de Eschhorst,15,,
7461BN,Park de Eschhorst,16,,
7461BN,Park de Eschhorst,17,,
7461BN,Park de Eschhorst,18,,
7461BN,Park de Eschhorst,19,,
7461BN,Park de Eschhorst,20,,
7461BN,Park de Eschhorst,21,,
7461BN,Park de Eschhorst,22,,
7461BN,Park de Eschhorst,23,,
7461BN,Park de Eschhorst,24,,
7461BN,Park de Eschhorst,25,,
7461BP,Parkstraat,1,,
7461BP,Parkstraat,3,,
7461BP,Parkstraat,5,,
7461BP,Parkstraat,7,,
7461BP,Parkstraat,9,,
7461BP,Parkstraat,11,,
7461BP,Parkstraat,13,,
7461BP,Parkstraat,15,,
7461BP,Parkstraat,17,,
7461BP,Parkstraat,19,,
7461BR,Parkstraat,2,,
7461BR,Parkstraat,4,,
7461BR,Parkstraat,6,,
7461BR,Parkstraat,8,,
7461BR,Parkstraat,10,,
7461BR,Parkstraat,14,,
7461BR,Parkstraat,16,,
7461BR,Parkstraat,20,,
7461BR,Parkstraat,22,,
7461BR,Parkstraat,24,,
7461BR,Parkstraat,26,,
7461BS,Parkstraat,32,,GA10
7461BS,Parkstraat,32,,GA11
7461BS,Parkstraat,32,,GA12
7461BS,Parkstraat,32,,GAR7
7461BS,Parkstraat,32,,GAR8
7461BS,Parkstraat,32,,GAR9
7461BS,Parkstraat,60,,
7461BS,Parkstraat,62,,
7461BS,Parkstraat,64,,
7461BS,Parkstraat,66,,
7461BS,Parkstraat,68,,
7461BS,Parkstraat,70,,
7461BS,Parkstraat,72,,
7461BS,Parkstraat,74,,
7461BS,Parkstraat,76,,
7461BS,Parkstraat,78,,
7461BS,Parkstraat,80,,
7461BS,Parkstraat,82,,
7461BS,Parkstraat,84,,
7461BS,Parkstraat,86,,
7461BS,Parkstraat,88,,
7461BS,Parkstraat,90,,
7461BS,Parkstraat,92,,
7461BS,Parkstraat,94,,
7461BS,Parkstraat,96,,
7461BS,Parkstraat,98,,
7461BS,Parkstraat,100,,
7461BS,Parkstraat,102,,
7461BS,Parkstraat,104,,
7461BS,Parkstraat,106,,
7461BS,Parkstraat,108,,
7461BS,Parkstraat,110,,
7461BS,Parkstraat,112,,
7461BS,Parkstraat,114,,
7461BS,Parkstraat,116,,
7461BS,Parkstraat,118,,
7461BS,Parkstraat,120,,
7461BS,Parkstraat,122,,
7461BS,Parkstraat,124,,
7461BS,Parkstraat,126,,
7461BS,Parkstraat,128,,
7461BS,Parkstraat,130,,
7461BS,Parkstraat,132,,
7461BS,Parkstraat,134,,
7461BS,Parkstraat,136,,
7461BS,Parkstraat,138,,
7461BS,Parkstraat,140,,
7461BS,Parkstraat,142,,
7461BS,Parkstraat,144,,
7461BS,Parkstraat,146,,
7461BS,Parkstraat,148,,
7461BS,Parkstraat,150,,
7461BS,Parkstraat,152,,
7461BS,Parkstraat,154,,
7461BS,Parkstraat,156,,
7461BS,Parkstraat,158,,
7461BS,Parkstraat,160,,
7461BS,Parkstraat,166,,
7461BS,Parkstraat,168,,
7461BS,Parkstraat,170,,
7461KA,Pottebakkerserf,2,,
7461KA,Pottebakkerserf,4,,
7461KA,Pottebakkerserf,6,,
7461KA,Pottebakkerserf,8,,
7461KA,Pottebakkerserf,10,,
7461KA,Pottebakkerserf,12,,
7461KA,Pottebakkerserf,14,,
7461KA,Pottebakkerserf,16,,
7461KA,Pottebakkerserf,18,,
7461KA,Pottebakkerserf,20,,
7461KA,Pottebakkerserf,22,,
7461KA,Pottebakkerserf,24,,
7461KA,Pottebakkerserf,26,,
7461KA,Pottebakkerserf,28,,
7461KA,Pottebakkerserf,30,,
7461KA,Pottebakkerserf,32,,
7461KA,Pottebakkerserf,34,,
7461KA,Pottebakkerserf,36,,
7461KA,Pottebakkerserf,38,,
7461KA,Pottebakkerserf,40,,
7461KB,Pottebakkerserf,42,,
7461KB,Pottebakkerserf,44,,
7461KB,Pottebakkerserf,46,,
7461KB,Pottebakkerserf,48,,
7461KB,Pottebakkerserf,50,,
7461KB,Pottebakkerserf,52,,
7461KB,Pottebakkerserf,54,,
7461KB,Pottebakkerserf,56,,
7461KB,Pottebakkerserf,58,,
7461KB,Pottebakkerserf,60,,
7461KB,Pottebakkerserf,62,,
7461KB,Pottebakkerserf,64,,
7461KB,Pottebakkerserf,66,,
7461KB,Pottebakkerserf,68,,
7461KB,Pottebakkerserf,70,,
7461KB,Pottebakkerserf,72,,
7461KB,Pottebakkerserf,74,,
7461KB,Pottebakkerserf,76,,
7461KB,Pottebakkerserf,78,,
7461KB,Pottebakkerserf,80,,
7461KC,Pottebakkerserf,82,,
7461KC,Pottebakkerserf,88,,
7461KC,Pottebakkerserf,90,,
7461KC,Pottebakkerserf,92,,
7461KC,Pottebakkerserf,94,,
7461KC,Pottebakkerserf,96,,
7461KC,Pottebakkerserf,98,,
7461KC,Pottebakkerserf,100,,
7461KC,Pottebakkerserf,102,,
7461KC,Pottebakkerserf,104,,
7461KC,Pottebakkerserf,106,,
7461KC,Pottebakkerserf,108,,
7461KC,Pottebakkerserf,114,,
7461KC,Pottebakkerserf,116,,
7461KC,Pottebakkerserf,118,,
7461KC,Pottebakkerserf,120,,
7461KC,Pottebakkerserf,122,,
7461KD,Pottebakkerserf,5,,
7461KD,Pottebakkerserf,7,,
7461KD,Pottebakkerserf,9,,
7461KD,Pottebakkerserf,11,,
7461KD,Pottebakkerserf,13,,
7461KD,Pottebakkerserf,15,,
7461KD,Pottebakkerserf,17,,
7461KD,Pottebakkerserf,19,,
7461KD,Pottebakkerserf,21,,
7461KD,Pottebakkerserf,23,,
7461KD,Pottebakkerserf,25,,
7461KD,Pottebakkerserf,27,,
7461KD,Pottebakkerserf,29,,
7461KD,Pottebakkerserf,31,,
7461KD,Pottebakkerserf,33,,
7461KD,Pottebakkerserf,35,,
7461KD,Pottebakkerserf,37,,
7461KD,Pottebakkerserf,39,,
7461KD,Pottebakkerserf,41,,
7461KD,Pottebakkerserf,43,,
7461KD,Pottebakkerserf,45,,
7461KD,Pottebakkerserf,47,,
7461KD,Pottebakkerserf,49,,
7461KD,Pottebakkerserf,51,,
7461KD,Pottebakkerserf,53,,
7461KD,Pottebakkerserf,55,,
7461KD,Pottebakkerserf,57,,
7461KD,Pottebakkerserf,59,,
7461BC,Smittenbelt,2,,
7461BC,Smittenbelt,4,,
7461BC,Smittenbelt,6,,
7461BC,Smittenbelt,8,,
7461BC,Smittenbelt,10,,
7461BC,Smittenbelt,12,,
7461BC,Smittenbelt,18,,
7461BC,Smittenbelt,20,,
7461BC,Smittenbelt,22,,
7461BC,Smittenbelt,24,,
7461BC,Smittenbelt,26,,
7461BH,Smittenbelt,1,,
7461BH,Smittenbelt,1,A,
7461BH,Smittenbelt,1,B,
7461BH,Smittenbelt,1,C,
7461BH,Smittenbelt,1,D,
7461BH,Smittenbelt,1,E,
7461BH,Smittenbelt,3,,
7461BH,Smittenbelt,5,,
7461BH,Smittenbelt,7,,
7461BH,Smittenbelt,9,,
7461BH,Smittenbelt,11,,
7461BH,Smittenbelt,13,,
7461BH,Smittenbelt,15,,
7461BH,Smittenbelt,17,,
7461BH,Smittenbelt,19,,
7461BH,Smittenbelt,21,,
7461BH,Smittenbelt,23,,
7461BH,Smittenbelt,25,,
7461CA,Spuitstraat,1,,
7461CA,Spuitstraat,4,,
7461CA,Spuitstraat,5,,
7461CA,Spuitstraat,6,,
7461CA,Spuitstraat,7,,
7461CA,Spuitstraat,8,,
7461CA,Spuitstraat,10,,
7461CA,Spuitstraat,12,,
7461CA,Spuitstraat,14,,
7461CA,Spuitstraat,16,,
7461CA,Spuitstraat,18,,
7461CA,Spuitstraat,20,,
7461CA,Spuitstraat,22,,
7461CA,Spuitstraat,24,,
7461CA,Spuitstraat,26,,
7461CA,Spuitstraat,28,,
7461KD,Parkzicht,60,,
7461KD,Parkzicht,62,,
7461KD,Parkzicht,64,,
7461KD,Parkzicht,66,,
7461KD,Parkzicht,68,,
7461KD,Parkzicht,70,,
7461KD,Parkzicht,72,,
7461KD,Parkzicht,74,,
7461KD,Parkzicht,76,,
7461KD,Parkzicht,78,,
7461KD,Parkzicht,80,,
7461KD,Parkzicht,82,,
7461KD,Parkzicht,84,,
7461KD,Parkzicht,86,,
7461KD,Parkzicht,88,,
7461KD,Parkzicht,90,,
7461KD,Parkzicht,92,,
7461KD,Parkzicht,94,,
7461KD,Parkzicht,96,,
7461KD,Parkzicht,98,,
7461KD,Parkzicht,100,,
7461KD,Parkzicht,102,,
7461KD,Parkzicht,104,,
7461KD,Parkzicht,106,,
7461KD,Parkzicht,108,,
7461KD,Parkzicht,110,,
7461KD,Parkzicht,112,,
7461KD,Parkzicht,114,,
7461KD,Parkzicht,116,,
7461KD,Parkzicht,118,,
7461KD,Parkzicht,120,,
7461KD,Parkzicht,122,,
7461KD,Parkzicht,124,,
7461KD,Parkzicht,126,,
7461KD,Parkzicht,128,,
7461KD,Parkzicht,130,,
7461KD,Parkzicht,132,,
7461KD,Parkzicht,134,,
7461KD,Parkzicht,136,,
7461KD,Parkzicht,138,,
7461KD,Parkzicht,140,,
7461KD,Parkzicht,142,,
7461KD,Parkzicht,144,,
7461KD,Parkzicht,146,,
7461KD,Parkzicht,148,,
7461KD,Parkzicht,150,,
7461KD,Parkzicht,152,,
7461KD,Parkzicht,154,,
7461KD,Parkzicht,156,,
7461KD,Parkzicht,158,,
