"postcode","huisnummer","huisletter","toevoeging"
"6131BE",32,"A",""
"6131BE",32,"A",""
"6131BE",32,"A",""
"6131BE",32,"A",""
6131BE,Steenweg,32,A,
6131HR,Agnetenwal,1,,
6131HR,Agnetenwal,1,A,
6131HR,Agnetenwal,1,B,
6131HR,Agnetenwal,3,,
6131HR,Agnetenwal,4,,
6131HR,Agnetenwal,6,,
6131EW,Begijnenhofstraat,1,,
6131EW,Begijnenhofstraat,3,,
6131EW,Begijnenhofstraat,3,,
6131EW,Begijnenhofstraat,3,A,
6131EW,Begijnenhofstraat,3,A,
6131EW,Begijnenhofstraat,5,,
6131EW,Begijnenhofstraat,7,,
6131EW,Begijnenhofstraat,9,,
6131EW,Begijnenhofstraat,11,,
6131EW,Begijnenhofstraat,13,,
6131EW,Begijnenhofstraat,15,,
6131EW,Begijnenhofstraat,17,,
6131EW,Begijnenhofstraat,19,,
6131EW,Begijnenhofstraat,21,,
6131EW,Begijnenhofstraat,23,,
6131EW,Begijnenhofstraat,25,,
6131EW,Begijnenhofstraat,27,,
6131EX,Begijnenhofstraat,2,,
6131EX,Begijnenhofstraat,2,,
6131EX,Begijnenhofstraat,2,A,
6131EX,Begijnenhofstraat,2,B,
6131EX,Begijnenhofstraat,2,C,
6131EX,Begijnenhofstraat,2,D,
6131EX,Begijnenhofstraat,2,E,
6131EX,Begijnenhofstraat,2,F,
6131EX,Begijnenhofstraat,4,,
6131EX,Begijnenhofstraat,6,,
6131EX,Begijnenhofstraat,8,,
6131EX,Begijnenhofstraat,8,A,
6131EX,Begijnenhofstraat,10,,
6131EX,Begijnenhofstraat,12,,
6131EX,Begijnenhofstraat,14,,
6131EX,Begijnenhofstraat,16,,
6131EX,Begijnenhofstraat,18,,
6131EX,Begijnenhofstraat,18,,I
6131EX,Begijnenhofstraat,18,,II
6131EX,Begijnenhofstraat,20,,
6131EX,Begijnenhofstraat,22,,
6131EX,Begijnenhofstraat,24,,
6131EX,Begijnenhofstraat,26,,
6131EX,Begijnenhofstraat,28,,
6131EX,Begijnenhofstraat,30,,
6131EX,Begijnenhofstraat,32,,
6131EV,Begijnenhofwal,2,,
6131EV,Begijnenhofwal,18,,
6131AV,Bergstraat,1,,
6131AV,Bergstraat,3,,
6131AV,Bergstraat,5,,1
6131AV,Bergstraat,5,,10
6131AV,Bergstraat,5,,11
6131AV,Bergstraat,5,,2
6131AV,Bergstraat,5,,3
6131AV,Bergstraat,5,,4
6131AV,Bergstraat,5,,5
6131AV,Bergstraat,5,,6
6131AV,Bergstraat,5,,7
6131AV,Bergstraat,5,,8
6131AV,Bergstraat,5,,9
6131AV,Bergstraat,7,,
6131AV,Bergstraat,9,,
