"postcode","huisnummer","huisletter","toevoeging"
"8711GS",100,"",""
"8711GS",11,"A",""
"8711GS",106,"",""
"8711GS",98,"",""
"8711GS",1,"A",""
"8711GS",98,"",""
"8711GS",11,"",""
"8711GS",10,"",""
"8711GS",102,"",""
"8711GS",104,"",""
"8711GS",108,"",""
"8711GS",1,"",""
"8711GS",3,"",""
"8711GS",13,"",""
"8711GS",8,"",""
"8775XD",11,"",""
"8775XD",18,"",""
"8775XD",9,"",""
"8775XD",13,"",""
"8775XD",19,"",""
"8775XD",12,"",""
"8775XD",6,"",""
"8775XD",8,"",""
"8775XD",14,"A",""
"8775XD",14,"",""
"8775XD",16,"",""
"8775XD",15,"",""
"8775XD",4,"",""
"8775XD",1,"",""
"8775XD",3,"",""
"8775XD",2,"",""
"8775XD",17,"",""
"8775XD",15,"A",""
"8775XD",7,"",""
"8775XD",4,"",""
8711GS,Nijhuzumerdyk,3,,
8711GS,Nijhuzumerdyk,1,,
8711GS,Trekwei,13,,
8711GS,Trekwei,8,,
8775XD,Nummer,15,A,
8775XD,Nummer,1,,
8775XD,Nummer,17,,
8775XD,Nummer,18,,
8775XD,Nummer,13,,
8775XD,Nummer,3,,
8775XD,Nummer,16,,
8775XD,Nummer,8,,
8711GS,Nijhuzumerdyk,1,A,
8711GS,Trekwei,11,A,
8711GS,Trekwei,11,,
8711GS,Trekwei,10,,
8711GS,Trekwei,100,,
8711GS,Trekwei,98,,
8711GS,Trekwei,102,,
8711GS,Trekwei,104,,
8711GS,Trekwei,106,,
8711GS,Trekwei,108,,
8775XD,Nummer,2,,
8775XD,Nummer,6,,
8775XD,Nummer,15,,
8775XD,Nummer,9,,
8775XD,Nummer,7,,
8775XD,Nummer,12,,
8775XD,Nummer,4,,
8775XD,Nummer,19,,
8775XD,Nummer,11,,
8775XD,Nummer,14,,
8775XD,Nummer,14,A,
8711GS,Trekwei,13,A,
8775XD,Nummer,4,,
8775XD,Nummer,5,,
8775XD,Nummer,5,,
8775XD,Nummer,4,,
