"postcode","huisnummer","huisletter","toevoeging"
"8713JA",11,"",""
"8713JA",2,"",""
"8713JA",9,"",""
"8713JA",5,"",""
"8713JA",7,"",""
"8713JA",3,"A",""
"8713JA",9,"A",""
"8713JE",16,"D",""
"8713JE",4,"",""
"8713JE",16,"A",""
"8713JE",1,"",""
"8713JE",16,"E",""
"8713JE",1,"A",""
"8713JE",8,"",""
"8713JE",16,"C",""
"8713JE",16,"",""
"8713JE",1,"",""
"8713JE",14,"",""
"8713JE",6,"",""
"8713JE",16,"B",""
"8713JE",10,"",""
"8713JT",2,"",""
"8713JT",1,"",""
"8713JT",19,"",""
"8713JT",11,"A",""
"8713JT",1,"",""
"8713JT",2,"",""
"8713JT",17,"",""
"8713JT",7,"",""
"8713JT",13,"",""
"8713JT",15,"",""
"8713JT",3,"",""
"8713JV",1,"",""
"8713JW",3,"",""
"8713JW",9,"",""
"8713JW",11,"",""
"8713JW",1,"",""
"8713JX",4,"",""
"8713JX",2,"",""
"8713JX",5,"",""
"8713JX",3,"",""
"8713LA",3,"",""
"8713LD",2,"",""
"8713LD",1,"",""
"8713LD",2,"",""
"8713LK",6,"",""
"8713LL",1,"",""
"8713LL",2,"",""
"8722HC",40,"",""
"8722HC",1,"",""
"8722HC",4,"",""
"8722HC",30,"",""
"8722HC",19,"",""
"8722HC",34,"",""
"8722HC",32,"",""
"8722HC",2,"",""
"8722HC",36,"",""
"8722HC",42,"",""
"8722HC",38,"",""
"8722HC",17,"",""
"8722HC",3,"",""
"8722HC",23,"",""
"8722HC",28,"",""
"8722HC",5,"",""
"8722HC",21,"",""
8713JV,Indijk,1,,
8713LD,Oosterdijk,1,,
8713LD,Oosterdijk,2,,
8713JT,Schuilenburg,17,,
8713JT,Schuilenburg,2,,
8713JT,Schuilenburg,1,,
8722HC,Flait,3,,
8722HC,Flait,2,,
8722HC,Flait,4,,
8722HC,Flait,5,,
8713JE,Madenlaan,1,A,
8713JX,Madenlaan,2,,
8713JX,Madenlaan,5,,
8713JE,Nieuwe Weide,6,,
8713JE,Nieuwe Weide,14,,
8713JE,Nieuwe Weide,8,,
8713JE,Nieuwe Weide,16,,
8713JE,Nieuwe Weide,16,A,
8713JE,Nieuwe Weide,16,D,
8713JE,Nieuwe Weide,16,E,
8722HC,Stationswei,23,,
8722HC,Stationswei,32,,
8722HC,Stationswei,28,,
8722HC,Stationswei,36,,
8722HC,Stationswei,38,,
8722HC,Stationswei,17,,
8713JW,Tuinbouwland,3,,
8713JW,Tuinbouwland,11,,
8713JW,Tuinbouwland,9,,
8713JA,Westerdijk,7,,
8713JA,Westerdijk,11,,
8713LA,Indijk,3,,
8713JT,Schuilenburg,13,,
8713JT,Schuilenburg,3,,
8713JT,Schuilenburg,15,,
8713JT,Schuilenburg,7,,
8713JT,Schuilenburg,11,A,
8713JT,Schuilenburg,19,,
8713LL,Suderseewei,1,,
8713LL,Suderseewei,2,,
8713LK,De Tôlve,6,,
8722HC,Flait,1,,
8713JE,Madenlaan,1,,
8713JX,Madenlaan,3,,
8713JX,Madenlaan,4,,
8713JE,Nieuwe Weide,16,C,
8713JE,Nieuwe Weide,16,B,
8713JE,Nieuwe Weide,4,,
8713JE,Nieuwe Weide,10,,
8722HC,Stationswei,42,,
8722HC,Stationswei,30,,
8722HC,Stationswei,34,,
8722HC,Stationswei,19,,
8722HC,Stationswei,21,,
8722HC,Stationswei,40,,
8713JW,Tuinbouwland,1,,
8713JA,Westerdijk,9,A,
8713JA,Westerdijk,9,,
8713JA,Westerdijk,5,,
8713JA,Westerdijk,3,A,
8713JA,Westerdijk,2,,
8713LD,Oosterdijk,1,A,
8713LD,Oosterdijk,1,A,
8713JT,Schuilenburg,13,A,
8713JT,Schuilenburg,1,,
8713LP,Stationsweg,2,,
8713LP,Stationsweg,4,A,
8713LK,De Tôlve,2,,
8713LK,De Tôlve,5,,
8713LK,De Tôlve,7,,
8713LK,De Tôlve,3,A,
8713LK,De Tôlve,3,B,
8713LK,De Tôlve,3,C,
8713LK,De Tôlve,3,D,
8713LK,De Tôlve,3,E,
8722HC,Flait,4,A,
8722HC,Flait,5,A,
8713JE,Madenlaan,1,,
8713JE,Madenlaan,1,B,
8722HC,Stationswei,44,,
8722HC,Stationswei,19,A,
8713LD,Oosterdijk,2,,
8713JT,Schuilenburg,2,,014
8713JT,Schuilenburg,2,,015
8713JT,Schuilenburg,2,,008
8713JT,Schuilenburg,2,,010
8713JT,Schuilenburg,2,,019
8713JT,Schuilenburg,2,,025
8713JT,Schuilenburg,2,,030
8713JT,Schuilenburg,2,,037
8713JT,Schuilenburg,2,,033
8713JT,Schuilenburg,2,,050
8713JT,Schuilenburg,2,,044
8713JT,Schuilenburg,2,,045
8713JT,Schuilenburg,2,,060
8713JT,Schuilenburg,2,,058
8713JT,Schuilenburg,2,,055
8713JT,Schuilenburg,2,,065
8713JT,Schuilenburg,2,,073
8713JT,Schuilenburg,2,,093
8713JT,Schuilenburg,2,,102
8713JT,Schuilenburg,2,,110
8713JT,Schuilenburg,2,,023
8713JT,Schuilenburg,4,,
8713JT,Schuilenburg,2,A,
8713JT,Schuilenburg,2,,
8713JX,Madenlaan,2,,
8722HC,Stationswei,36,A,
