"postcode","huisnummer","huisletter","toevoeging"
"8635MK",1,"",""
"8635MK",2,"",""
"8635MK",3,"",""
"8635MR",1,"",""
"8635MR",5,"",""
"8635MR",4,"",""
"8635MR",7,"",""
"8635MR",2,"",""
"8635MR",3,"",""
"8635MS",2,"b",""
"8635MS",2,"A",""
"8635MS",2,"",""
"8635MS",1,"",""
"8635MS",3,"",""
"8635MT",4,"",""
"8635MT",2,"",""
"8635MV",3,"",""
"8635MV",5,"","WSCH"
"8635MV",1,"",""
"8635MV",4,"",""
"8635MV",2,"",""
"8635MX",5,"",""
"8635MX",3,"",""
"8635VB",3,"",""
"8635VB",2,"","NUON"
"8635VB",2,"a",""
"8635VB",2,"",""
"8635VB",1,"",""
"8635VB",5,"",""
"8635VB",1,"a",""
"8635VB",1,"","NUON"
"8635VC",3,"",""
"8635VC",5,"",""
"8635VD",5,"a",""
"8635VD",1,"",""
"8635VD",3,"",""
"8635VD",6,"",""
"8635VD",2,"",""
"8635VD",5,"a",""
"8635VD",5,"",""
"8635VD",1,"",""
"8635VD",9,"",""
"8635VD",4,"",""
"8635VD",7,"",""
"8635VE",1,"","WSCH"
8635VC,Bongier,5,,
8635VC,Bongier,3,,
8635MX,Flearen,3,,
8635MX,Flearen,5,,
8635VB,Hegedyk,3,,
8635VB,Hegedyk,5,,
8635VB,Hegedyk,1,,
8635VB,Hegedyk,2,,
8635VB,Hegedyk,2,a,
8635VB,Hegedyk,1,,NUON
8635VB,Hegedyk,2,,NUON
8635VB,Hegedyk,1,a,
8635MV,Makkum,2,,
8635MV,Makkum,5,,WSCH
8635MV,Makkum,3,,
8635MV,Makkum,1,,
8635MV,Makkum,4,,
8635MK,Singel,2,,
8635MK,Singel,3,,
8635MK,Singel,1,,
8635MT,Slachtedyk,2,,
8635MT,Slachtedyk,4,,
8635MR,Suderdyk,2,,
8635MR,Suderdyk,4,,
8635MR,Suderdyk,7,,
8635MR,Suderdyk,1,,
8635MR,Suderdyk,3,,
8635MR,Suderdyk,5,,
8635MS,Sylsterdyk,3,,
8635MS,Sylsterdyk,2,b,
8635MS,Sylsterdyk,1,,
8635MS,Sylsterdyk,2,A,
8635MS,Sylsterdyk,2,,
8635VD,Yndyk,7,,
8635VD,Yndyk,9,,
8635VD,Yndyk,3,,
8635VD,Yndyk,5,a,
8635VD,Yndyk,4,,
8635VD,Yndyk,6,,
8635VD,Yndyk,1,,
8635VD,Yndyk,2,,
8635VD,Yndyk,5,,
8635VE,Froonackerdyk,1,,WSCH
8635MK,Singel,2,,
8635MK,Singel,2,A,
8635MK,Singel,2,B,
8635VD,Yndyk,1,A,
8635VD,Yndyk,1,,
