"postcode","huisnummer","huisletter","toevoeging"
"8534WB",1,"",""
"8534WB",11,"",""
"8534WB",23,"",""
"8534WB",9,"",""
"8534WB",27,"",""
"8534WB",3,"",""
"8534WB",7,"",""
"8534WB",17,"",""
"8534WB",15,"",""
"8534WB",13,"",""
"8534WB",11,"T",""
"8534WB",1,"",""
"8534WB",21,"",""
"8534WB",29,"",""
"8534WB",19,"",""
"8534WB",5,"",""
"8534WC",8,"",""
"8534WC",4,"A",""
"8534WC",2,"",""
"8534WC",6,"",""
"8534WC",4,"",""
8534WB,Straatweg,3,,
8534WB,Straatweg,1,,
8534WB,Straatweg,27,,
8534WB,Straatweg,7,,
8534WC,Straatweg,4,A,
8534WC,Straatweg,4,,
8534WB,Straatweg,19,,
8534WB,Straatweg,17,,
8534WB,Straatweg,11,T,
8534WB,Straatweg,9,,
8534WB,Straatweg,5,,
8534WB,Straatweg,13,,
8534WB,Straatweg,21,,
8534WB,Straatweg,23,,
8534WB,Straatweg,29,,
8534WB,Straatweg,11,,
8534WB,Straatweg,15,,
8534WC,Straatweg,2,,
8534WC,Straatweg,8,,
8534WC,Straatweg,6,,
8534WB,Straatweg,1,,BY
8534WB,Straatweg,1,,
