"postcode","huisnummer","huisletter","toevoeging"
"8535WD",10,"",""
"8535WD",9,"",""
"8535WD",3,"",""
"8535WD",16,"",""
"8535WD",4,"",""
"8535WD",2,"",""
"8535WD",14,"",""
"8535WD",6,"",""
"8535WD",18,"",""
"8535WD",1,"",""
"8535WD",20,"",""
"8535WD",5,"",""
"8535WD",7,"",""
"8535WD",3,"A",""
"8535WE",63,"",""
"8535WE",40,"",""
"8535WE",61,"",""
"8535WE",65,"",""
"8535WE",67,"",""
"8535WE",57,"",""
"8535WE",71,"",""
"8535WG",37,"",""
"8535WG",1,"A",""
"8535WG",49,"",""
"8535WG",13,"",""
"8535WG",35,"",""
"8535WG",7,"",""
"8535WG",45,"",""
"8535WG",33,"",""
"8535WG",9,"",""
"8535WG",29,"",""
"8535WG",1,"",""
"8535WG",3,"",""
"8535WG",19,"",""
"8535WG",11,"",""
"8535WG",17,"",""
"8535WG",19,"A",""
"8535WG",5,"",""
"8535WG",23,"",""
"8535WG",15,"",""
"8535WG",47,"",""
"8535WG",39,"",""
"8535WG",27,"",""
"8535WG",25,"",""
"8535WG",41,"",""
"8535WG",43,"",""
"8535WG",31,"",""
"8535WH",4,"",""
"8535WH",2,"",""
"8535WH",8,"",""
"8535WH",36,"",""
"8535WH",30,"",""
"8535WH",16,"",""
"8535WH",34,"",""
"8535WH",28,"",""
"8535WH",26,"",""
"8535WH",38,"",""
"8535WH",32,"",""
"8535WH",30,"",""
"8535WH",6,"",""
"8535WJ",1,"",""
"8535XA",1,"",""
8535WJ,Tramdyk,1,,
8535WD,Doniagaweg,10,,
8535WD,Doniagaweg,18,,
8535WD,Doniagaweg,5,,
8535WD,Doniagaweg,6,,
8535WD,Doniagaweg,7,,
8535WD,Doniagaweg,9,,
8535WD,Doniagaweg,16,,
8535WD,Doniagaweg,14,,
8535WE,Straatweg,40,,
8535WE,Straatweg,63,,
8535WE,Straatweg,57,,
8535WE,Straatweg,61,,
8535WE,Straatweg,71,,
8535WG,Straatweg,19,A,
8535WG,Straatweg,19,,
8535WG,Straatweg,45,,
8535WG,Straatweg,1,A,
8535WG,Straatweg,3,,
8535WG,Straatweg,5,,
8535WG,Straatweg,7,,
8535WG,Straatweg,13,,
8535WG,Straatweg,25,,
8535WG,Straatweg,31,,
8535WG,Straatweg,33,,
8535WG,Straatweg,41,,
8535WG,Straatweg,43,,
8535WG,Straatweg,47,,
8535WH,Straatweg,16,,
8535WH,Straatweg,26,,
8535WH,Straatweg,32,,
8535WH,Straatweg,6,,
8535WH,Straatweg,2,,
8535WH,Straatweg,4,,
8535WH,Straatweg,34,,
8535WH,Straatweg,36,,
8535XA,De Lytse Brekken,1,,
8535WD,Doniagaweg,20,,
8535WD,Doniagaweg,1,,
8535WD,Doniagaweg,2,,
8535WD,Doniagaweg,3,A,
8535WD,Doniagaweg,3,,
8535WD,Doniagaweg,4,,
8535WE,Straatweg,67,,
8535WE,Straatweg,65,,
8535WG,Straatweg,49,,
8535WG,Straatweg,39,,
8535WG,Straatweg,37,,
8535WG,Straatweg,35,,
8535WG,Straatweg,29,,
8535WG,Straatweg,27,,
8535WG,Straatweg,23,,
8535WG,Straatweg,17,,
8535WG,Straatweg,15,,
8535WG,Straatweg,11,,
8535WG,Straatweg,9,,
8535WG,Straatweg,1,,
8535WH,Straatweg,38,,
8535WH,Straatweg,28,,
8535WH,Straatweg,30,,
8535WH,Straatweg,8,,
8535WH,Straatweg,32,,0001
8535WH,Straatweg,32,,0002
8535WH,Straatweg,32,,0003
8535WH,Straatweg,32,,0004
8535WH,Straatweg,32,,0005
8535WH,Straatweg,32,,0006
8535WH,Straatweg,32,,0007
8535WH,Straatweg,32,,0008
8535WH,Straatweg,32,,0009
8535WH,Straatweg,32,,0010
8535WH,Straatweg,32,,0011
8535WH,Straatweg,32,,0012
8535WH,Straatweg,32,,0013
8535WH,Straatweg,32,,0014
8535WH,Straatweg,32,,0015
8535WH,Straatweg,32,,0016
8535WH,Straatweg,32,,0017
8535WH,Straatweg,32,,0018
8535WH,Straatweg,32,,0019
8535WH,Straatweg,32,,0020
8535WD,Doniagaweg,10,M,
8535WG,Straatweg,47,M,
8535WH,Straatweg,32,,0001
8535WH,Straatweg,32,,0002
8535WH,Straatweg,32,,0003
8535WH,Straatweg,32,,0004
8535WH,Straatweg,32,,0005
8535WH,Straatweg,32,,0006
8535WH,Straatweg,32,,0007
8535WH,Straatweg,32,,0008
8535WH,Straatweg,32,,0009
8535WH,Straatweg,32,,0010
8535WH,Straatweg,32,,0011
8535WH,Straatweg,32,,0013
8535WH,Straatweg,32,,0014
8535WH,Straatweg,32,,0015
8535WH,Straatweg,32,,0016
8535WH,Straatweg,32,,0017
8535WH,Straatweg,32,,0018
8535WH,Straatweg,32,,0019
8535WH,Straatweg,32,,0020
8535WH,Straatweg,32,,0012
