"postcode","huisnummer","huisletter","toevoeging"
"8527DS",14,"",""
"8527DS",14,"",""
"8527DS",18,"",""
"8527DS",16,"",""
"8527DS",1,"a",""
"8527DS",6,"",""
"8527DS",24,"",""
"8527DS",22,"",""
"8527DS",9,"",""
"8527DS",10,"",""
"8527DS",20,"",""
"8527DS",7,"",""
"8527DS",12,"",""
"8527DS",3,"",""
"8527DS",8,"",""
"8527DS",5,"",""
"8527DS",2,"",""
"8527DS",4,"",""
"8527DS",1,"",""
8527DS,Legemeersterweg,4,,
8527DS,Legemeersterweg,5,,
8527DS,Legemeersterweg,6,,
8527DS,Legemeersterweg,7,,
8527DS,Legemeersterweg,8,,
8527DS,Legemeersterweg,9,,
8527DS,Legemeersterweg,10,,
8527DS,Legemeersterweg,12,,
8527DS,Legemeersterweg,14,,
8527DS,Legemeersterweg,16,,
8527DS,Legemeersterweg,18,,
8527DS,Legemeersterweg,20,,
8527DS,Legemeersterweg,22,,
8527DS,Legemeersterweg,24,,
8527DS,Legemeersterweg,3,,
8527DS,Legemeersterweg,2,,
8527DS,Legemeersterweg,1,,
8527DS,Legemeersterweg,1,a,
8527DS,Legemeersterweg,1,B,
8527DS,Legemeersterweg,1,C,
8527DS,Legemeersterweg,1,D,
