"postcode","huisnummer","huisletter","toevoeging"
"8466NP",1,"",""
"8466NP",3,"",""
"8466RD",1,"",""
"8466RD",3,"",""
"8466RD",7,"",""
"8466RE",26,"",""
"8466RE",6,"",""
"8466RE",20,"",""
"8466RE",16,"",""
"8466RE",32,"",""
"8466RE",22,"",""
"8466RE",30,"",""
"8466RE",10,"",""
"8466RE",2,"",""
"8466RE",34,"",""
"8466RE",14,"",""
"8466RE",8,"",""
"8466RE",24,"",""
"8466RE",4,"",""
"8466RE",18,"",""
"8466RE",12,"",""
"8466RE",18,"a",""
8466RD,Jousterweg,7,,
8466RE,Jousterweg,14,,
8466RE,Jousterweg,16,,
8466RE,Jousterweg,18,,
8466RE,Jousterweg,18,a,
8466RE,Jousterweg,20,,
8466RE,Jousterweg,22,,
8466RE,Jousterweg,24,,
8466RE,Jousterweg,26,,
8466RE,Jousterweg,30,,
8466RE,Jousterweg,32,,
8466RE,Jousterweg,34,,
8466RE,Jousterweg,2,,
8466RE,Jousterweg,6,,
8466RE,Jousterweg,8,,
8466RE,Jousterweg,12,,
8466NP,Ketting,1,,
8466NP,Ketting,3,,
8466RD,Jousterweg,3,,
8466RD,Jousterweg,1,,
8466RE,Jousterweg,4,,
8466RE,Jousterweg,10,,
8466NP,Ketting,3,,GEM
