"postcode","huisnummer","huisletter","toevoeging"
"8524DK",21,"",""
"8524DK",7,"",""
"8524DK",29,"",""
"8524DK",25,"",""
"8524DK",9,"",""
"8524DK",16,"",""
"8524DK",27,"a",""
"8524DK",27,"",""
"8524DK",21,"",""
"8524DK",17,"",""
"8524DK",19,"a",""
"8524DK",31,"",""
"8524DK",19,"",""
"8524DK",11,"",""
"8524DK",15,"",""
"8524DK",7,"",""
"8524DK",23,"",""
"8524DK",5,"",""
"8524DK",13,"",""
8524DK,Troelstraweg,5,,
8524DK,Troelstraweg,7,,
8524DK,Troelstraweg,9,,
8524DK,Troelstraweg,11,,
8524DK,Troelstraweg,13,,
8524DK,Troelstraweg,15,,
8524DK,Troelstraweg,16,,
8524DK,Troelstraweg,19,,
8524DK,Troelstraweg,19,a,
8524DK,Troelstraweg,21,,
8524DK,Troelstraweg,23,,
8524DK,Troelstraweg,25,,
8524DK,Troelstraweg,27,a,
8524DK,Troelstraweg,29,,
8524DK,Troelstraweg,31,,
8524DK,Troelstraweg,27,,
8524DK,Troelstraweg,17,,
8524DK,Troelstraweg,3,A,
8524DK,Troelstraweg,21,,BY
8524DK,Troelstraweg,21,,
8524DK,Troelstraweg,17,M,
8524DK,Troelstraweg,7,,
8524DK,Troelstraweg,27,B,
