"postcode","huisnummer","huisletter","toevoeging"
"9031XH",10,"",""
"9031XH",5,"A",""
"9031XH",3,"",""
"9031XH",4,"",""
"9031XH",5,"",""
"9031XH",8,"",""
"9031XH",14,"",""
"9031XH",18,"",""
"9031XH",6,"",""
"9031XJ",13,"",""
"9031XJ",15,"",""
"9031XJ",7,"",""
"9031XJ",2,"",""
"9031XJ",9,"",""
"9031XJ",6,"",""
"9031XJ",3,"",""
"9031XJ",8,"",""
"9031XJ",5,"",""
"9031XJ",2,"A",""
"9031XM",17,"A",""
"9031XM",7,"",""
"9031XM",2,"A",""
"9031XM",3,"",""
"9031XM",15,"",""
"9031XM",1,"",""
"9031XM",3,"",""
"9031XM",2,"",""
"9031XM",17,"",""
"9031XM",5,"",""
"9031XM",13,"",""
"9031XM",19,"",""
"9031XM",9,"",""
"9031XM",11,"",""
"9031XW",5,"A",""
"9031XW",5,"",""
"9031XW",3,"",""
"9031XW",1,"",""
9031XJ,Hegedyk,13,,
9031XJ,Hegedyk,15,,
9031XJ,Hegedyk,2,,
9031XJ,Hegedyk,2,A,
9031XJ,Hegedyk,3,,
9031XJ,Hegedyk,5,,
9031XJ,Hegedyk,6,,
9031XJ,Hegedyk,7,,
9031XJ,Hegedyk,8,,
9031XJ,Hegedyk,9,,
9031XM,Blessumerpaed,1,,
9031XM,Blessumerpaed,11,,
9031XM,Blessumerpaed,13,,
9031XM,Blessumerpaed,15,,
9031XM,Blessumerpaed,17,,
9031XM,Blessumerpaed,17,A,
9031XM,Blessumerpaed,19,,
9031XM,Blessumerpaed,2,,
9031XM,Blessumerpaed,2,A,
9031XM,Blessumerpaed,3,,
9031XM,Blessumerpaed,5,,
9031XM,Blessumerpaed,7,,
9031XM,Blessumerpaed,9,,
9031XW,Hylaerderpaed,1,,
9031XW,Hylaerderpaed,3,,
9031XW,Hylaerderpaed,5,,
9031XW,Hylaerderpaed,5,A,
9031XH,Pypsterbuorren,10,,
9031XH,Pypsterbuorren,14,,
9031XH,Pypsterbuorren,18,,
9031XH,Pypsterbuorren,3,,
9031XH,Pypsterbuorren,4,,
9031XH,Pypsterbuorren,5,,
9031XH,Pypsterbuorren,5,A,
9031XH,Pypsterbuorren,6,,
9031XH,Pypsterbuorren,8,,
9031XJ,Hegedyk,1,,
9031XJ,Hegedyk,4,,
9031XJ,Hegedyk,11,,
9031XH,Pypsterbuorren,1,,
9031XH,Pypsterbuorren,2,,
9031XH,Pypsterbuorren,12,,
9031XH,Pypsterbuorren,7,,
