"postcode","huisnummer","huisletter","toevoeging"
"8808HA",5,"",""
"8808HA",1,"",""
"8808HA",6,"",""
"8808HA",2,"",""
"8808HA",3,"",""
"8808HA",4,"",""
"8808HB",11,"",""
"8808HB",27,"",""
"8808HB",23,"",""
"8808HB",1,"A",""
"8808HB",10,"",""
"8808HB",15,"",""
"8808HB",5,"",""
"8808HB",3,"",""
"8808HB",9,"",""
"8808HB",1,"",""
"8808HD",28,"",""
"8808HD",8,"",""
"8808HD",20,"",""
"8808HD",26,"",""
"8808HD",30,"",""
"8808HD",24,"",""
"8808HD",8,"",""
"8808HD",14,"",""
"8808HD",2,"",""
"8808HD",16,"",""
"8808HD",4,"",""
"8808HD",6,"",""
"8808HD",18,"",""
"8808HM",6,"",""
"8808HM",3,"",""
"8808HM",1,"",""
"8808HM",5,"",""
"8808HM",2,"",""
"8808HM",7,"",""
"8808HM",9,"",""
"8808HM",9,"",""
"8808HM",4,"",""
"8808HM",8,"",""
"8808HM",10,"",""
8808HA,Franekerweg,4,,
8808HA,Franekerweg,3,,
8808HA,Franekerweg,5,,
8808HA,Franekerweg,2,,
8808HB,Hovensreed,1,A,
8808HB,Hovensreed,10,,
8808HB,Hovensreed,3,,
8808HB,Hovensreed,23,,
8808HB,Hovensreed,5,,
8808HM,Riedsterweg,10,,
8808HM,Riedsterweg,2,,
8808HM,Riedsterweg,4,,
8808HM,Riedsterweg,6,,
8808HM,Riedsterweg,8,,
8808HM,Riedsterweg,1,,
8808HM,Riedsterweg,5,,
8808HM,Riedsterweg,7,,
8808HM,Riedsterweg,9,,
8808HD,Tzummarumerweg,4,,
8808HD,Tzummarumerweg,6,,
8808HD,Tzummarumerweg,8,,
8808HD,Tzummarumerweg,14,,
8808HD,Tzummarumerweg,16,,
8808HD,Tzummarumerweg,18,,
8808HD,Tzummarumerweg,20,,
8808HD,Tzummarumerweg,24,,
8808HD,Tzummarumerweg,26,,
8808HA,Franekerweg,6,,
8808HA,Franekerweg,1,,
8808HB,Hovensreed,15,,
8808HB,Hovensreed,9,,
8808HB,Hovensreed,11,,
8808HB,Hovensreed,1,,
8808HB,Hovensreed,27,,
8808HM,Riedsterweg,3,,
8808HD,Tzummarumerweg,2,,
8808HD,Tzummarumerweg,30,,
8808HD,Tzummarumerweg,28,,
8808HM,Riedsterweg,9,A,
8808HM,Riedsterweg,9,,
8808HD,Tzummarumerweg,8,,
8808HD,Tzummarumerweg,10,,
8808HM,Riedsterweg,9,A,
8808HM,Riedsterweg,9,,
