"postcode","huisnummer","huisletter","toevoeging"
"9035AV",8,"",""
"9035AV",2,"",""
"9035AV",4,"",""
"9035AV",3,"",""
"9035AV",1,"",""
"9035VP",18,"",""
"9035VP",22,"",""
"9035VP",9,"G",""
"9035VP",9,"C",""
"9035VP",9,"B",""
"9035VP",16,"A",""
"9035VP",9,"F",""
"9035VP",9,"J",""
"9035VP",24,"",""
"9035VP",4,"",""
"9035VP",5,"",""
"9035VP",2,"",""
"9035VP",9,"I",""
"9035VP",9,"D",""
"9035VP",19,"",""
"9035VP",9,"H",""
"9035VP",3,"",""
"9035VP",10,"",""
"9035VP",15,"",""
"9035VP",1,"",""
"9035VP",11,"",""
"9035VP",30,"",""
"9035VP",9,"E",""
"9035VP",17,"",""
"9035VP",24,"A",""
"9035VP",9,"A",""
"9035VP",21,"",""
"9035VP",16,"",""
"9035VP",12,"",""
"9035VP",20,"",""
"9035VP",7,"",""
"9035VP",6,"",""
"9035VP",26,"",""
"9035VP",9,"",""
"9035VP",13,"",""
"9035VP",15,"",""
"9035VP",14,"",""
"9035VR",8,"F",""
"9035VR",13,"",""
"9035VR",8,"C",""
"9035VR",8,"D",""
"9035VR",17,"",""
"9035VR",8,"G",""
"9035VR",15,"",""
"9035VR",6,"",""
"9035VR",4,"",""
"9035VR",7,"",""
"9035VR",8,"",""
"9035VR",11,"",""
"9035VR",9,"",""
"9035VR",2,"",""
"9035VR",8,"B",""
"9035VR",8,"A",""
"9035VR",5,"",""
"9035VR",3,"",""
"9035VR",8,"E",""
"9035VR",8,"H",""
9035VR,It Roer,11,,
9035VR,It Roer,13,,
9035VR,It Roer,15,,
9035VR,It Roer,17,,
9035VR,It Roer,2,,
9035VR,It Roer,3,,
9035VR,It Roer,4,,
9035VR,It Roer,5,,
9035VR,It Roer,6,,
9035VR,It Roer,7,,
9035VR,It Roer,8,,
9035VR,It Roer,8,A,
9035VR,It Roer,8,B,
9035VR,It Roer,8,C,
9035VR,It Roer,8,D,
9035VR,It Roer,8,E,
9035VR,It Roer,8,F,
9035VR,It Roer,8,G,
9035VR,It Roer,8,H,
9035VR,It Roer,9,,
9035AV,Harnzertrekwei,1,,
9035AV,Harnzertrekwei,2,,
9035AV,Harnzertrekwei,3,,
9035AV,Harnzertrekwei,4,,
9035AV,Harnzertrekwei,8,,
9035VP,De Alde Mar,1,,
9035VP,De Alde Mar,10,,
9035VP,De Alde Mar,11,,
9035VP,De Alde Mar,12,,
9035VP,De Alde Mar,13,,
9035VP,De Alde Mar,14,,
9035VP,De Alde Mar,15,,
9035VP,De Alde Mar,15,,
9035VP,De Alde Mar,16,,
9035VP,De Alde Mar,16,A,
9035VP,De Alde Mar,17,,
9035VP,De Alde Mar,18,,
9035VP,De Alde Mar,19,,
9035VP,De Alde Mar,2,,
9035VP,De Alde Mar,20,,
9035VP,De Alde Mar,21,,
9035VP,De Alde Mar,22,,
9035VP,De Alde Mar,24,,
9035VP,De Alde Mar,24,A,
9035VP,De Alde Mar,26,,
9035VP,De Alde Mar,3,,
9035VP,De Alde Mar,30,,
9035VP,De Alde Mar,4,,
9035VP,De Alde Mar,5,,
9035VP,De Alde Mar,6,,
9035VP,De Alde Mar,7,,
9035VP,De Alde Mar,9,,
9035VP,De Alde Mar,9,A,
9035VP,De Alde Mar,9,B,
9035VP,De Alde Mar,9,C,
9035VP,De Alde Mar,9,D,
9035VP,De Alde Mar,9,E,
9035VP,De Alde Mar,9,F,
9035VP,De Alde Mar,9,G,
9035VP,De Alde Mar,9,H,
9035VP,De Alde Mar,9,I,
9035VP,De Alde Mar,9,J,
9035AV,Harnzertrekwei,1,B,
9035AV,Harnzertrekwei,1,C,
9035AV,Harnzertrekwei,1,D,
9035AV,Harnzertrekwei,4,A,
9035AV,Harnzertrekwei,10,,
9035VP,De Alde Mar,15,A,
9035VP,De Alde Mar,15,A,
9035VS,Westerpolder,6,E,
9035VS,Westerpolder,6,B,
9035VS,Westerpolder,6,G,
9035VP,De Alde Mar,8,,
9035VS,Westerpolder,2,,
9035VS,Westerpolder,2,A,
9035VS,Westerpolder,5,,
9035VS,Westerpolder,14,,
9035VS,Westerpolder,14,A,
9035VS,Westerpolder,4,,
9035VS,Westerpolder,4,A,
9035VS,Westerpolder,4,B,
9035VS,Westerpolder,4,C,
9035VS,Westerpolder,4,D,
9035VS,Westerpolder,4,E,
9035VS,Westerpolder,4,F,
9035VS,Westerpolder,4,G,
9035VS,Westerpolder,4,H,
9035VS,Westerpolder,4,J,
9035VS,Westerpolder,4,K,
9035VS,Westerpolder,17,,
9035VS,Westerpolder,17,A,
9035VS,Westerpolder,17,,
9035VS,Westerpolder,11,,
9035VS,Westerpolder,11,A,
9035VS,Westerpolder,13,,
9035VS,Westerpolder,19,,
9035VS,Westerpolder,19,A,
9035VS,Westerpolder,16,,
9035VS,Westerpolder,12,,
9035VS,Westerpolder,12,A,
9035VS,Westerpolder,3,,
9035VS,Westerpolder,3,A,
9035VS,Westerpolder,3,B,
9035VS,Westerpolder,3,C,
9035VS,Westerpolder,1,,
9035VS,Westerpolder,1,A,
9035VS,Westerpolder,1,B,
9035VS,Westerpolder,1,C,
9035VS,Westerpolder,1,D,
9035VS,Westerpolder,1,E,
9035VS,Westerpolder,1,G,
9035VS,Westerpolder,1,H,
9035VS,Westerpolder,1,J,
9035VS,Westerpolder,1,K,
9035VS,Westerpolder,1,L,
9035VS,Westerpolder,7,,
9035VS,Westerpolder,7,A,
9035VS,Westerpolder,15,,
9035VS,Westerpolder,15,A,
9035VS,Westerpolder,11,A,
9035VS,Westerpolder,11,,
9035VS,Westerpolder,18,,
9035VS,Westerpolder,6,,
9035VS,Westerpolder,6,A,
9035VS,Westerpolder,6,,
9035VS,Westerpolder,2,A,
9035VS,Westerpolder,2,,
9035VS,Westerpolder,13,,
9035VS,Westerpolder,13,,
9035VS,Westerpolder,13,A,
