"postcode","huisnummer","huisletter","toevoeging"
"8852RG",10,"",""
"8852RG",12,"",""
"8852RH",12,"",""
"8852RH",6,"A",""
"8852RH",17,"",""
"8852RH",3,"",""
"8852RH",6,"",""
"8852RH",15,"",""
"8852RH",9,"",""
"8852RH",16,"",""
"8852RH",20,"",""
"8852RH",7,"",""
"8852RH",18,"",""
"8852RH",21,"",""
"8852RH",21,"",""
"8852RH",8,"",""
"8852RH",4,"",""
"8852RH",1,"",""
"8852RJ",27,"",""
"8852RJ",38,"",""
"8852RJ",34,"",""
"8852RJ",33,"",""
"8852RJ",41,"",""
"8852RJ",29,"",""
"8852RJ",22,"",""
"8852RJ",28,"",""
"8852RJ",40,"",""
"8852RK",2,"",""
"8852RK",5,"",""
"8852RK",3,"",""
"8852RK",1,"",""
"8852RL",7,"",""
"8852RL",1,"",""
8852RH,Camstrawei,6,A,
8852RH,Camstrawei,8,,
8852RH,Camstrawei,12,,
8852RH,Camstrawei,16,,
8852RH,Camstrawei,18,,
8852RH,Camstrawei,1,,
8852RH,Camstrawei,3,,
8852RH,Camstrawei,7,,
8852RH,Camstrawei,9,,
8852RH,Camstrawei,15,,
8852RH,Camstrawei,17,,
8852RH,Camstrawei,21,,
8852RJ,Camstrawei,22,,
8852RJ,Camstrawei,28,,
8852RJ,Camstrawei,34,,
8852RJ,Camstrawei,38,,
8852RJ,Camstrawei,40,,
8852RJ,Camstrawei,27,,
8852RJ,Camstrawei,41,,
8852RK,Hearewei,2,,
8852RK,Hearewei,1,,
8852RK,Hearewei,5,,
8852RG,Tjessingawei,12,,
8852RG,Tjessingawei,10,,
8852RL,Griene Dyk,7,,
8852RL,Hoarnestreek,1,,
8852RH,Camstrawei,6,,
8852RH,Camstrawei,20,,
8852RH,Camstrawei,4,,
8852RJ,Camstrawei,29,,
8852RJ,Camstrawei,33,,
8852RK,Hearewei,3,,
8852RH,Camstrawei,19,,
8852RH,Camstrawei,21,,
