"postcode","huisnummer","huisletter","toevoeging"
"9038TA",3,"",""
"9038TA",6,"",""
"9038TA",5,"",""
"9038TA",2,"A",""
"9038TA",1,"",""
"9038TB",13,"",""
"9038TB",6,"",""
"9038TB",3,"",""
"9038TB",2,"A",""
"9038TB",7,"",""
"9038TB",5,"",""
"9038TB",1,"",""
"9038TB",2,"",""
"9038TB",4,"",""
"9038TC",5,"",""
"9038TC",10,"",""
"9038TC",3,"",""
"9038TC",7,"",""
"9038TD",10,"",""
"9038TD",2,"",""
"9038TD",1,"A",""
"9038TD",4,"A",""
"9038TD",5,"",""
"9038TD",4,"",""
"9038TD",6,"",""
"9038TD",2,"A",""
"9038TD",9,"",""
"9038TD",12,"",""
"9038TD",7,"",""
"9038TD",10,"A",""
"9038TD",1,"",""
"9038TR",2,"",""
9038TR,Nijlânsdyk,2,,
9038TC,Mieddyk,10,,
9038TC,Mieddyk,3,,
9038TC,Mieddyk,5,,
9038TC,Mieddyk,7,,
9038TD,Tsjerkeleane,1,,
9038TD,Tsjerkeleane,10,,
9038TD,Tsjerkeleane,10,A,
9038TD,Tsjerkeleane,12,,
9038TD,Tsjerkeleane,1,A,
9038TD,Tsjerkeleane,2,,
9038TD,Tsjerkeleane,2,A,
9038TD,Tsjerkeleane,4,,
9038TD,Tsjerkeleane,4,A,
9038TD,Tsjerkeleane,5,,
9038TD,Tsjerkeleane,6,,
9038TD,Tsjerkeleane,7,,
9038TD,Tsjerkeleane,9,,
9038TA,Sirtemawei,1,,
9038TA,Sirtemawei,2,A,
9038TA,Sirtemawei,3,,
9038TA,Sirtemawei,5,,
9038TA,Sirtemawei,6,,
9038TB,Tilledyk,1,,
9038TB,Tilledyk,13,,
9038TB,Tilledyk,2,,
9038TB,Tilledyk,2,A,
9038TB,Tilledyk,3,,
9038TB,Tilledyk,4,,
9038TB,Tilledyk,5,,
9038TB,Tilledyk,6,,
9038TB,Tilledyk,7,,
9038TA,Sirtemawei,2,,
9038TB,Tilledyk,3,A,
