"postcode","huisnummer","huisletter","toevoeging"
"9037JV",5,"",""
"9037JV",4,"",""
"9037JV",20,"",""
"9037JV",22,"",""
"9037JV",2,"A",""
"9037JV",2,"",""
"9037JV",18,"",""
"9037JV",3,"",""
"9037JV",10,"",""
"9037JV",1,"",""
"9037JV",6,"",""
"9037JV",14,"",""
"9037JV",7,"",""
"9037JV",9,"",""
"9037JV",11,"",""
"9037JW",1,"",""
"9037JW",16,"",""
"9037JW",2,"",""
"9037JW",3,"",""
"9037JW",9,"A",""
"9037JW",8,"",""
"9037JW",10,"",""
"9037JW",5,"",""
"9037JW",9,"",""
"9037JW",12,"",""
"9037JW",4,"",""
"9037JW",14,"",""
"9037JW",12,"A",""
"9037JX",2,"",""
"9037JX",1,"",""
"9037JX",3,"",""
"9037JX",2,"",""
9037JV,Menamerdyk,1,,
9037JV,Menamerdyk,10,,
9037JV,Menamerdyk,11,,
9037JV,Menamerdyk,14,,
9037JV,Menamerdyk,18,,
9037JV,Menamerdyk,2,,
9037JV,Menamerdyk,20,,
9037JV,Menamerdyk,22,,
9037JV,Menamerdyk,2,A,
9037JV,Menamerdyk,3,,
9037JV,Menamerdyk,4,,
9037JV,Menamerdyk,5,,
9037JV,Menamerdyk,6,,
9037JV,Menamerdyk,7,,
9037JV,Menamerdyk,9,,
9037JW,Kleasterdyk,1,,
9037JW,Kleasterdyk,10,,
9037JW,Kleasterdyk,12,,
9037JW,Kleasterdyk,12,A,
9037JW,Kleasterdyk,14,,
9037JW,Kleasterdyk,16,,
9037JW,Kleasterdyk,2,,
9037JW,Kleasterdyk,3,,
9037JW,Kleasterdyk,4,,
9037JW,Kleasterdyk,5,,
9037JW,Kleasterdyk,8,,
9037JW,Kleasterdyk,9,,
9037JW,Kleasterdyk,9,A,
9037JX,Skingsterdyk,1,,
9037JX,Skingsterdyk,3,,
9037JX,De Kastieltsjes,2,,
9037JW,Kleasterdyk,18,,
9037JW,Kleasterdyk,1,A,
9037JX,De Kastieltsjes,2,,
9037JW,Kleasterdyk,1,B,
9037JW,Kleasterdyk,1,C,
