"postcode","huisnummer","huisletter","toevoeging"
"9696XD",2,"",""
"9696XE",1,"",""
"9696XG",27,"",""
"9696XG",23,"",""
"9696XG",33,"",""
"9696XG",11,"",""
"9696XG",5,"",""
"9696XG",19,"",""
"9696XG",17,"",""
"9696XG",25,"",""
"9696XG",21,"",""
"9696XG",31,"",""
"9696XG",9,"",""
"9696XH",34,"",""
"9696XH",6,"",""
"9696XH",32,"",""
"9696XH",10,"",""
"9696XH",20,"",""
"9696XH",8,"",""
"9696XH",28,"",""
"9696XH",16,"",""
"9696XH",2,"",""
"9696XH",4,"",""
"9696XH",22,"",""
"9696XH",18,"",""
"9696XH",14,"",""
"9696XH",12,"",""
"9696XH",26,"",""
"9696XJ",2,"A",""
"9696XJ",2,"",""
"9696XJ",9,"",""
"9696XJ",2,"A",""
"9696XJ",13,"",""
"9696XJ",3,"",""
"9696XJ",5,"",""
"9696XJ",1,"",""
"9696XK",2,"",""
"9696XK",1,"",""
"9696XK",3,"",""
"9696XK",4,"",""
"9696XL",2,"",""
"9696XL",4,"",""
"9696XL",1,"",""
"9696XL",2,"",""
"9696XM",4,"A",""
"9696XM",1,"",""
"9696XM",1,"A",""
"9696XM",4,"A",""
"9696XM",10,"",""
"9696XN",28,"",""
"9696XN",20,"",""
"9696XN",12,"",""
"9696XN",18,"",""
"9696XN",24,"",""
"9696XN",16,"",""
"9696XN",22,"",""
"9696XN",10,"",""
"9696XN",14,"",""
"9696XN",26,"",""
"9696XN",4,"",""
"9696XN",6,"",""
"9696XN",1,"",""
"9696XN",4,"",""
"9696XW",1,"",""
"9696XW",3,"",""
"9696XW",12,"",""
"9696XW",10,"",""
"9696XW",1,"",""
9696XM,1e Kwartierstraat,1,,
9696XM,1e Kwartierstraat,10,,
9696XM,1e Kwartierstraat,1,A,
9696XD,Bakkersgang,2,,
9696XL,Dijkwal,1,,
9696XL,Dijkwal,2,,
9696XL,Dijkwal,4,,
9696XN,Molenweg,1,,
9696XN,Molenweg,4,,
9696XN,Molenweg,10,,
9696XN,Molenweg,12,,
9696XN,Molenweg,14,,
9696XN,Molenweg,16,,
9696XN,Molenweg,18,,
9696XN,Molenweg,20,,
9696XN,Molenweg,22,,
9696XN,Molenweg,24,,
9696XN,Molenweg,26,,
9696XN,Molenweg,28,,
9696XN,Molenweg,6,,
9696XE,Oudeweg,1,,
9696XK,Poortweg,1,,
9696XK,Poortweg,2,,
9696XK,Poortweg,3,,
9696XK,Poortweg,4,,
9696XG,Voorstraat,5,,
9696XG,Voorstraat,9,,
9696XG,Voorstraat,11,,
9696XG,Voorstraat,17,,
9696XG,Voorstraat,19,,
9696XG,Voorstraat,21,,
9696XG,Voorstraat,23,,
9696XG,Voorstraat,25,,
9696XG,Voorstraat,27,,
9696XG,Voorstraat,31,,
9696XG,Voorstraat,33,,
9696XH,Voorstraat,2,,
9696XH,Voorstraat,4,,
9696XH,Voorstraat,6,,
9696XH,Voorstraat,8,,
9696XH,Voorstraat,10,,
9696XH,Voorstraat,12,,
9696XH,Voorstraat,14,,
9696XH,Voorstraat,16,,
9696XH,Voorstraat,18,,
9696XH,Voorstraat,20,,
9696XH,Voorstraat,22,,
9696XH,Voorstraat,26,,
9696XH,Voorstraat,28,,
9696XH,Voorstraat,32,,
9696XH,Voorstraat,34,,
9696XM,2e Kwartierstraat,4,A,
9696XW,2e Kwartierstraat,3,,
9696XW,2e Kwartierstraat,10,,
9696XW,2e Kwartierstraat,12,,
9696XW,2e Kwartierstraat,1,,
9696XW,2e Kwartierstraat,1,,
9696XJ,Achterstraat,1,,
9696XJ,Achterstraat,2,,
9696XJ,Achterstraat,3,,
9696XJ,Achterstraat,5,,
9696XJ,Achterstraat,9,,
9696XJ,Achterstraat,13,,
9696XJ,Achterstraat,2,A,
9696XL,Dijkwal,2,,
9696XN,Molenweg,4,,
9696XN,Molenweg,4,a,
9696XH,Voorstraat,6,,
9696XL,Dijkwal,2,,
