"postcode","huisnummer","huisletter","toevoeging"
"9695HR",1,"",""
"9695HR",2,"",""
"9695HR",3,"",""
"9695HR",6,"",""
"9695HR",4,"",""
"9695VB",8,"",""
"9695VB",9,"",""
"9695VB",10,"",""
"9695VB",7,"",""
"9695VB",15,"",""
"9695VB",2,"",""
"9695VB",14,"",""
"9695VB",4,"",""
"9695VB",5,"",""
"9695VB",1,"",""
"9695VB",3,"",""
"9695VB",16,"",""
"9695VB",6,"",""
"9695VB",12,"",""
"9695VB",17,"",""
"9695VB",11,"",""
"9695VC",19,"",""
"9695VC",23,"",""
"9695VC",18,"",""
"9695VC",19,"",""
"9695VC",24,"",""
"9695VC",26,"",""
"9695VD",1,"",""
"9695VE",5,"",""
"9695VE",1,"",""
"9695VG",5,"",""
"9695VG",6,"",""
"9695VG",2,"",""
"9695VG",3,"",""
"9695VG",3,"",""
"9695VG",7,"",""
"9695VG",3,"",""
"9695VG",4,"",""
"9695VH",1,"",""
"9695VP",10,"",""
"9695VP",15,"",""
"9695VP",16,"",""
"9695VP",7,"",""
"9695VP",14,"",""
"9695VP",12,"",""
"9695VP",11,"",""
"9695VP",17,"",""
"9695VP",5,"",""
"9695VP",13,"",""
"9695VP",8,"",""
"9695VP",9,"",""
"9695VR",2,"",""
"9695VR",3,"",""
"9695VR",5,"",""
"9695VR",1,"",""
"9695VS",2,"",""
9695VE,1e Grenslaan,1,,
9695VE,1e Grenslaan,5,,
9695VH,Kortelaan,1,,
9695VD,Lyskemeerweg,1,,
9695HR,Oudelaan,1,,
9695HR,Oudelaan,2,,
9695HR,Oudelaan,3,,
9695HR,Oudelaan,4,,
9695HR,Oudelaan,6,,
9695VP,Oudelaan,5,,
9695VP,Oudelaan,7,,
9695VP,Oudelaan,8,,
9695VP,Oudelaan,9,,
9695VP,Oudelaan,10,,
9695VP,Oudelaan,11,,
9695VP,Oudelaan,13,,
9695VP,Oudelaan,14,,
9695VP,Oudelaan,15,,
9695VP,Oudelaan,16,,
9695VP,Oudelaan,17,,
9695VP,Oudelaan,12,,
9695VG,Veendijk,2,,
9695VG,Veendijk,3,,
9695VG,Veendijk,4,,
9695VG,Veendijk,5,,
9695VG,Veendijk,6,,
9695VG,Veendijk,7,,
9695VG,Veendijk,3,,
9695VR,Werkhuislaan,1,,
9695VR,Werkhuislaan,2,,
9695VR,Werkhuislaan,3,,
9695VR,Werkhuislaan,5,,
9695VS,Batterijweg,2,,
9695VB,Kanaaldijk O.Z.,1,,
9695VB,Kanaaldijk O.Z.,2,,
9695VB,Kanaaldijk O.Z.,3,,
9695VB,Kanaaldijk O.Z.,4,,
9695VB,Kanaaldijk O.Z.,5,,
9695VB,Kanaaldijk O.Z.,6,,
9695VB,Kanaaldijk O.Z.,7,,
9695VB,Kanaaldijk O.Z.,8,,
9695VB,Kanaaldijk O.Z.,9,,
9695VB,Kanaaldijk O.Z.,10,,
9695VB,Kanaaldijk O.Z.,11,,
9695VB,Kanaaldijk O.Z.,12,,
9695VB,Kanaaldijk O.Z.,14,,
9695VB,Kanaaldijk O.Z.,15,,
9695VB,Kanaaldijk O.Z.,16,,
9695VB,Kanaaldijk O.Z.,17,,
9695VC,Kanaaldijk O.Z.,18,,
9695VC,Kanaaldijk O.Z.,19,,
9695VC,Kanaaldijk O.Z.,23,,
9695VC,Kanaaldijk O.Z.,24,,
9695VC,Kanaaldijk O.Z.,26,,
9695VG,Veendijk,4,,ZON
9695VC,Kanaaldijk O.Z.,19,,
9695VC,Kanaaldijk O.Z.,19,,
9695VH,Kortelaan,1,,
