"postcode","huisnummer","huisletter","toevoeging"
"9617TA",6,"",""
"9617TA",8,"",""
"9617TA",1,"",""
"9617TA",14,"",""
"9617TA",10,"",""
"9617TA",4,"",""
"9617TA",1,"",""
"9617TA",2,"",""
"9617TA",2,"A",""
9617TA,Bieleveldslaan,1,,
9617TA,Bieleveldslaan,1,,
9617TA,Bieleveldslaan,2,,
9617TA,Bieleveldslaan,2,A,
9617TA,Bieleveldslaan,4,,
9617TA,Bieleveldslaan,6,,
9617TA,Bieleveldslaan,8,,
9617TA,Bieleveldslaan,10,,
9617TA,Bieleveldslaan,14,,
9617EX,Land van Star Lichtenvoort,6,,
9617EX,Land van Star Lichtenvoort,19,,
9617EX,Land van Star Lichtenvoort,23,,
9617EX,Land van Star Lichtenvoort,14,,
9617EX,Land van Star Lichtenvoort,17,,
9617EX,Land van Star Lichtenvoort,4,,
9617EX,Land van Star Lichtenvoort,2,,
9617EX,Land van Star Lichtenvoort,8,,
9617EX,Land van Star Lichtenvoort,13,,
9617EX,Land van Star Lichtenvoort,3,,
9617EX,Land van Star Lichtenvoort,18,,
9617EX,Land van Star Lichtenvoort,25,,
9617EX,Land van Star Lichtenvoort,9,,
9617EX,Land van Star Lichtenvoort,15,,
9617EX,Land van Star Lichtenvoort,16,,
9617EX,Land van Star Lichtenvoort,21,,
9617EX,Land van Star Lichtenvoort,10,,
9617EX,Land van Star Lichtenvoort,12,,
9617EX,Land van Star Lichtenvoort,1,,
9617EX,Land van Star Lichtenvoort,7,,
9617EX,Land van Star Lichtenvoort,5,,
9617EX,Land van Star Lichtenvoort,11,,
9617EX,Land van Star Lichtenvoort,11,,
9617EX,Land van Star Lichtenvoort,11,,
9617EX,Land van Star Lichtenvoort,11,,
