"postcode","huisnummer","huisletter","toevoeging"
"9619PL",5,"",""
"9619PL",27,"",""
"9619PL",31,"",""
"9619PL",7,"",""
"9619PL",43,"",""
"9619PL",33,"",""
"9619PL",41,"",""
"9619PL",37,"",""
"9619PL",13,"",""
"9619PL",21,"",""
"9619PL",3,"",""
"9619PL",9,"",""
"9619PL",11,"",""
"9619PL",1,"",""
"9619PL",19,"",""
"9619PL",29,"",""
"9619PL",13,"A",""
"9619PL",39,"A",""
"9619PL",23,"",""
"9619PL",39,"A",""
"9619PL",15,"",""
"9619PL",39,"",""
"9619PL",23,"A",""
"9619PL",39,"",""
"9619PL",35,"",""
"9619PL",25,"",""
"9619PS",3,"",""
"9619PS",1,"",""
"9619PS",3,"A",""
"9619PS",5,"",""
"9619PS",7,"",""
"9619TE",5,"",""
"9619TE",4,"",""
"9619TE",6,"",""
"9619TE",1,"",""
"9619TE",15,"",""
"9619TE",13,"",""
"9619TE",17,"",""
"9619TE",2,"",""
"9619TE",7,"","NAM"
"9619TE",9,"",""
"9619TE",11,"",""
"9619TG",2,"",""
9619PS,Fromaweg,1,,
9619PS,Fromaweg,3,,
9619PS,Fromaweg,5,,
9619PS,Fromaweg,7,,
9619PS,Fromaweg,3,A,
9619TE,Groenedijk,1,,
9619TE,Groenedijk,2,,
9619TE,Groenedijk,4,,
9619TE,Groenedijk,5,,
9619TE,Groenedijk,6,,
9619TE,Groenedijk,9,,
9619TE,Groenedijk,11,,
9619TE,Groenedijk,13,,
9619TE,Groenedijk,15,,
9619TE,Groenedijk,17,,
9619TE,Groenedijk,7,,NAM
9619TG,Kooiweg,2,,
9619PL,Ruitenweg,1,,
9619PL,Ruitenweg,3,,
9619PL,Ruitenweg,5,,
9619PL,Ruitenweg,7,,
9619PL,Ruitenweg,9,,
9619PL,Ruitenweg,11,,
9619PL,Ruitenweg,13,,
9619PL,Ruitenweg,13,A,
9619PL,Ruitenweg,15,,
9619PL,Ruitenweg,19,,
9619PL,Ruitenweg,21,,
9619PL,Ruitenweg,23,,
9619PL,Ruitenweg,23,A,
9619PL,Ruitenweg,25,,
9619PL,Ruitenweg,27,,
9619PL,Ruitenweg,29,,
9619PL,Ruitenweg,31,,
9619PL,Ruitenweg,33,,
9619PL,Ruitenweg,35,,
9619PL,Ruitenweg,37,,
9619PL,Ruitenweg,39,,
9619PL,Ruitenweg,39,A,
9619PL,Ruitenweg,41,,
9619PL,Ruitenweg,43,,
9619TE,Groenedijk,9,A,
9619PL,Ruitenweg,39,A,
9619PL,Ruitenweg,39,,
