"postcode","huisnummer","huisletter","toevoeging"
"9626AC",113,"","TRAF"
"9626AC",131,"",""
"9626AC",111,"",""
"9626AC",135,"",""
"9626AC",129,"",""
"9626AC",109,"",""
"9626AC",115,"",""
"9626AC",103,"",""
"9626AC",107,"",""
"9626AC",127,"",""
"9626AC",125,"",""
"9626AC",113,"",""
"9626AC",145,"",""
"9626AC",137,"",""
"9626AC",99,"",""
"9626AC",133,"",""
"9626AC",101,"A",""
"9626AC",127,"A",""
"9626AC",139,"",""
"9626AC",141,"",""
"9626AC",101,"",""
"9626AC",143,"",""
"9626TB",12,"",""
"9626TB",6,"",""
"9626TB",20,"",""
"9626TB",10,"",""
"9626TB",22,"",""
"9626TB",8,"",""
"9626TB",18,"",""
"9626TB",2,"",""
"9626TB",4,"",""
"9626TG",1,"",""
"9626TG",1,"A",""
"9626TL",5,"",""
9626TG,Bovenvennenweg,1,,
9626TG,Bovenvennenweg,1,A,
9626TB,Hondelaan,2,,
9626TB,Hondelaan,4,,
9626TB,Hondelaan,6,,
9626TB,Hondelaan,8,,
9626TB,Hondelaan,10,,
9626TB,Hondelaan,12,,
9626TB,Hondelaan,18,,
9626TB,Hondelaan,20,,
9626TB,Hondelaan,22,,
9626AC,Hoofdweg,99,,
9626AC,Hoofdweg,101,,
9626AC,Hoofdweg,103,,
9626AC,Hoofdweg,107,,
9626AC,Hoofdweg,109,,
9626AC,Hoofdweg,111,,
9626AC,Hoofdweg,113,,
9626AC,Hoofdweg,113,,TRAF
9626AC,Hoofdweg,115,,
9626AC,Hoofdweg,125,,
9626AC,Hoofdweg,127,,
9626AC,Hoofdweg,129,,
9626AC,Hoofdweg,131,,
9626AC,Hoofdweg,133,,
9626AC,Hoofdweg,135,,
9626AC,Hoofdweg,137,,
9626AC,Hoofdweg,139,,
9626AC,Hoofdweg,141,,
9626AC,Hoofdweg,143,,
9626AC,Hoofdweg,145,,
9626AC,Hoofdweg,127,A,
9626AC,Hoofdweg,101,A,
9626TL,Siepweg,5,,
9626AC,Hoofdweg,105,,
9626AC,Hoofdweg,101,,
