"postcode","huisnummer","huisletter","toevoeging"
"9632TC",61,"",""
"9632TC",73,"",""
"9632TC",67,"",""
"9632TC",65,"",""
"9632TC",63,"",""
"9632TC",71,"B",""
"9632TC",59,"",""
"9632TC",75,"",""
"9632TC",71,"A",""
"9632TC",57,"",""
"9632TC",71,"",""
"9632TC",65,"A",""
"9632TC",69,"",""
9632TC,Borgercompagnie,57,,
9632TC,Borgercompagnie,73,,
9632TC,Borgercompagnie,75,,
9632TC,Borgercompagnie,59,,
9632TC,Borgercompagnie,65,,
9632TC,Borgercompagnie,65,A,
9632TC,Borgercompagnie,67,,
9632TC,Borgercompagnie,61,,
9632TC,Borgercompagnie,63,,
9632TC,Borgercompagnie,71,A,
9632TC,Borgercompagnie,71,,
9632TC,Borgercompagnie,69,,
9632TC,Borgercompagnie,71,B,
9632TA,Nieuweweg,1,,
9632TC,Borgercompagniesterweg,31,,
9632TC,Borgercompagniesterweg,33,,
9632TC,Borgercompagniesterweg,35,,
9632TC,Borgercompagniesterweg,37,,
9632TC,Borgercompagniesterweg,39,,
9632TC,Borgercompagniesterweg,41,,
9632TC,Borgercompagniesterweg,43,,
9632TC,Borgercompagniesterweg,45,,
9632TC,Borgercompagniesterweg,47,,
9632TC,Borgercompagniesterweg,49,,
9632TC,Borgercompagniesterweg,51,,
9632TC,Borgercompagniesterweg,53,,
9632TD,Borgercompagniesterweg,44,,
9632TD,Borgercompagniesterweg,46,,
9632TD,Borgercompagniesterweg,50,,
9632TD,Borgercompagniesterweg,52,,
9632TD,Borgercompagniesterweg,56,,
9632TD,Borgercompagniesterweg,58,,
9632TD,Borgercompagniesterweg,60,,
9632TD,Borgercompagniesterweg,62,,
9632TD,Borgercompagniesterweg,64,,
9632TD,Borgercompagniesterweg,68,,
9632TD,Borgercompagniesterweg,68,,
9632TD,Borgercompagniesterweg,70,,
9632TD,Borgercompagniesterweg,74,,
9632TD,Borgercompagniesterweg,76,,
9632TD,Borgercompagniesterweg,78,,
9632TD,Borgercompagniesterweg,42,A,
9632TD,Borgercompagniesterweg,68,,
9632TD,Borgercompagniesterweg,68,,
