"postcode","huisnummer","huisletter","toevoeging"
"9125EA",19,"",""
"9125EA",15,"",""
"9125EA",9,"",""
"9125EA",1,"",""
"9125EA",21,"",""
"9125EA",13,"",""
"9125EA",23,"",""
"9125EA",29,"",""
"9125EA",3,"",""
"9125EA",7,"",""
"9125EA",5,"",""
"9125EA",25,"",""
"9125EA",33,"",""
"9125EA",11,"",""
"9125EA",27,"",""
"9125EA",9,"T",""
"9125EB",20,"",""
"9125EB",16,"",""
"9125EB",28,"A","006"
"9125EB",20,"A",""
"9125EB",32,"F",""
"9125EB",6,"",""
"9125EB",14,"",""
"9125EB",2,"",""
"9125EB",28,"",""
"9125EB",4,"",""
"9125EB",32,"E",""
"9125EB",2,"",""
"9125EB",28,"E",""
"9125EB",18,"",""
"9125EB",32,"D",""
"9125EB",26,"",""
"9125EB",28,"A","003"
"9125EB",22,"",""
"9125EB",32,"F",""
"9125EB",32,"E",""
"9125EB",28,"A","001"
"9125EB",32,"C",""
"9125EB",28,"B",""
"9125EB",10,"",""
"9125EB",24,"A",""
"9125EB",32,"E",""
"9125EB",26,"A",""
"9125EB",28,"A","005"
"9125EB",32,"B",""
"9125EB",30,"",""
"9125EB",28,"A","002"
"9125EB",2,"",""
"9125EB",28,"A","004"
"9125EB",32,"A",""
"9125EB",28,"T",""
"9125EB",32,"F",""
"9125EB",26,"A",""
"9125EB",32,"",""
"9125EC",4,"",""
"9125EC",1,"",""
"9125EC",7,"",""
"9125EC",6,"",""
"9125EC",5,"",""
9125EC,Mellemawei,1,,
9125EC,Mellemawei,4,,
9125EC,Mellemawei,5,,
9125EC,Mellemawei,6,,
9125EC,Mellemawei,7,,
9125EA,Tichelwei,33,,
9125EA,Tichelwei,1,,
9125EA,Tichelwei,3,,
9125EA,Tichelwei,5,,
9125EA,Tichelwei,7,,
9125EA,Tichelwei,9,,
9125EA,Tichelwei,9,T,
9125EA,Tichelwei,11,,
9125EA,Tichelwei,13,,
9125EA,Tichelwei,15,,
9125EA,Tichelwei,19,,
9125EA,Tichelwei,21,,
9125EA,Tichelwei,23,,
9125EA,Tichelwei,25,,
9125EA,Tichelwei,27,,
9125EA,Tichelwei,29,,
9125EB,Tichelwei,30,,
9125EB,Tichelwei,32,,
9125EB,Tichelwei,2,,
9125EB,Tichelwei,4,,
9125EB,Tichelwei,6,,
9125EB,Tichelwei,28,,
9125EB,Tichelwei,28,A,005
9125EB,Tichelwei,28,E,
9125EB,Tichelwei,32,E,
9125EB,Tichelwei,10,,
9125EB,Tichelwei,14,,
9125EB,Tichelwei,16,,
9125EB,Tichelwei,18,,
9125EB,Tichelwei,20,,
9125EB,Tichelwei,20,A,
9125EB,Tichelwei,22,,
9125EB,Tichelwei,24,A,
9125EB,Tichelwei,26,,
9125EB,Tichelwei,26,A,
9125EB,Tichelwei,28,A,001
9125EB,Tichelwei,32,A,
9125EB,Tichelwei,28,A,002
9125EB,Tichelwei,32,B,
9125EB,Tichelwei,28,A,003
9125EB,Tichelwei,32,C,
9125EB,Tichelwei,28,A,004
9125EB,Tichelwei,32,D,
9125EB,Tichelwei,32,F,
9125EB,Tichelwei,32,E,
9125EB,Tichelwei,28,A,006
9125EB,Tichelwei,32,F,
9125EB,Tichelwei,28,B,
9125EB,Tichelwei,28,T,
9125EB,Tichelwei,2,,
9125EB,Tichelwei,32,P,
9125EB,Tichelwei,32,F,
9125EB,Tichelwei,32,G,
9125EB,Tichelwei,32,H,
9125EB,Tichelwei,32,K,
9125EB,Tichelwei,32,L,
9125EB,Tichelwei,32,M,
9125EB,Tichelwei,32,N,
9125EB,Tichelwei,32,S,
9125EB,Tichelwei,32,T,
9125EB,Tichelwei,32,U,
9125EB,Tichelwei,32,V,
9125EB,Tichelwei,32,R,
9125EB,Tichelwei,32,X,
9125EB,Tichelwei,32,Y,
9125EB,Tichelwei,26,A,
