"postcode","huisnummer","huisletter","toevoeging"
"9134DA",3,"",""
"9134DA",19,"",""
"9134DA",17,"",""
"9134DA",2,"",""
"9134DA",5,"",""
"9134DA",1,"",""
"9134DA",4,"",""
"9134DA",13,"",""
"9134DA",19,"T",""
"9134DA",2,"",""
"9134DA",2,"A",""
"9134DA",11,"",""
"9134DA",15,"",""
"9134DA",7,"",""
"9134DA",19,"T",""
"9134DA",2,"A",""
"9134DB",8,"",""
"9134DB",27,"",""
"9134DB",27,"T",""
"9134DB",21,"",""
"9134DB",6,"",""
"9134DB",29,"",""
"9134DB",27,"T",""
"9134DB",10,"",""
"9134DB",23,"",""
"9134DB",25,"",""
"9134DC",1,"",""
"9134DC",3,"",""
"9134DX",26,"",""
"9134NR",2,"",""
"9134NR",1,"",""
"9134PA",2,"",""
"9134PD",8,"",""
"9134PD",13,"",""
"9134PD",10,"",""
"9134PD",2,"",""
"9134PD",1,"",""
"9134PD",14,"",""
"9134PD",14,"",""
"9134PD",4,"",""
"9134PD",11,"",""
"9134PD",12,"",""
"9134PD",6,"",""
"9134PD",15,"",""
"9134PD",3,"",""
"9134PD",17,"",""
9134DC,Grytsjewei,1,,
9134DC,Grytsjewei,3,,
9134DX,Alddyk,26,,
9134NR,Garewei,1,,
9134NR,Garewei,2,,
9134PA,Griene Reed,2,,
9134PD,Moarsterwei,1,,
9134PD,Moarsterwei,2,,
9134PD,Moarsterwei,3,,
9134PD,Moarsterwei,4,,
9134PD,Moarsterwei,6,,
9134PD,Moarsterwei,8,,
9134PD,Moarsterwei,10,,
9134PD,Moarsterwei,11,,
9134PD,Moarsterwei,12,,
9134PD,Moarsterwei,13,,
9134PD,Moarsterwei,14,,
9134PD,Moarsterwei,15,,
9134PD,Moarsterwei,17,,
9134DA,Dyksterwei,1,,
9134DA,Dyksterwei,2,,
9134DA,Dyksterwei,2,,
9134DA,Dyksterwei,2,A,
9134DA,Dyksterwei,2,A,
9134DA,Dyksterwei,3,,
9134DA,Dyksterwei,5,,
9134DA,Dyksterwei,11,,
9134DA,Dyksterwei,15,,
9134DA,Dyksterwei,17,,
9134DA,Dyksterwei,19,,
9134DA,Dyksterwei,19,T,
9134DA,Dyksterwei,19,T,
9134DB,Dyksterwei,25,,
9134DB,Dyksterwei,27,,
9134DB,Dyksterwei,27,T,
9134DB,Dyksterwei,29,,
9134DB,Dyksterwei,6,,
9134DB,Dyksterwei,8,,
9134DB,Dyksterwei,10,,
9134DB,Dyksterwei,21,,
9134DA,Dyksterwei,7,,
9134DA,Dyksterwei,13,,
9134DA,Dyksterwei,4,,
9134DB,Dyksterwei,23,,
9134PD,Moarsterwei,14,A,
9134PD,Moarsterwei,14,,
9134PD,Moarsterwei,14,A,
9134PD,Moarsterwei,14,B,
9134PD,Moarsterwei,14,C,
9134PD,Moarsterwei,14,D,
9134PD,Moarsterwei,14,E,
9134PD,Moarsterwei,14,F,
9134PD,Moarsterwei,14,G,
9134PD,Moarsterwei,14,H,
9134PD,Moarsterwei,14,K,
9134PD,Moarsterwei,14,L,
9134PD,Moarsterwei,14,M,
9134PD,Moarsterwei,14,N,
9134PD,Moarsterwei,14,P,
9134PD,Moarsterwei,14,R,
9134PD,Moarsterwei,14,S,
