"postcode","huisnummer","huisletter","toevoeging"
"9932AA",9,"b",""
"9932AA",9,"a",""
"9932AA",9,"a",""
"9932AA",9,"",""
"9932AA",3,"B",""
"9932AA",1,"a",""
"9932AA",9,"b",""
"9932AA",3,"A",""
"9932AA",3,"",""
"9932AA",9,"d",""
"9932AA",1,"a",""
"9932AA",1,"",""
"9932AA",9,"c",""
"9932AA",17,"",""
"9932AA",13,"",""
"9932AA",11,"",""
"9932AA",9,"d",""
"9932AA",9,"c",""
"9932AB",30,"A",""
"9932AB",30,"",""
"9932AB",26,"",""
"9932AB",40,"",""
"9932AB",24,"",""
"9932AB",40,"a",""
"9932AB",28,"",""
"9932AB",32,"",""
"9932AB",40,"",""
"9932AB",34,"",""
"9932AB",38,"",""
"9932AB",36,"A",""
"9932AB",40,"a",""
"9932AB",36,"B",""
"9932AB",36,"",""
9932AA,Zwet,3,,
9932AA,Zwet,1,,
9932AA,Zwet,17,,
9932AA,Zwet,9,,
9932AA,Zwet,13,,
9932AB,Zwet,24,,
9932AB,Zwet,26,,
9932AB,Zwet,28,,
9932AB,Zwet,30,,
9932AB,Zwet,32,,
9932AB,Zwet,34,,
9932AB,Zwet,40,,
9932AB,Zwet,38,,
9932AB,Zwet,36,,
9932AB,Zwet,36,A,
9932AA,Zwet,11,,
9932AA,Zwet,3,B,
9932AA,Zwet,3,A,
9932AA,Zwet,9,d,
9932AA,Zwet,9,d,
9932AA,Zwet,9,c,
9932AA,Zwet,9,c,
9932AA,Zwet,9,a,
9932AA,Zwet,9,a,
9932AA,Zwet,9,b,
9932AA,Zwet,9,b,
9932AA,Zwet,1,a,
9932AB,Zwet,30,A,
9932AB,Zwet,36,B,
9932AB,Zwet,40,a,
9932AA,Zwet,9,e,
9932AA,Zwet,7,,
9932AB,Zwet,40,,
9932AA,Zwet,7,,
9932AA,Zwet,9,,
9932AA,Zwet,9,a,
9932AA,Zwet,9,b,
9932AA,Zwet,9,c,
9932AA,Zwet,9,d,
9932AA,Zwet,9,e,
9932AA,Zwet,9,f,
9932AA,Zwet,1,a,
