"postcode","huisnummer","huisletter","toevoeging"
"9936HE",21,"",""
"9936HE",11,"",""
"9936HE",5,"",""
"9936HE",41,"",""
"9936HE",45,"",""
"9936HL",11,"",""
"9936HP",8,"",""
"9936HP",6,"",""
"9936HP",8,"",""
"9936HP",6,"",""
"9936HP",2,"",""
"9936HW",30,"",""
9936HE,Heemkesweg,11,,
9936HE,Heemskesweg,11,,
9936HE,Heemkesweg,21,,
9936HE,Heemskesweg,21,,
9936HE,Heemkesweg,45,,
9936HE,Heemskesweg,45,,
9936HE,Heemkesweg,5,,
9936HE,Heemskesweg,5,,
9936HE,Heemkesweg,41,,
9936HE,Heemskesweg,41,,
9936HP,Karspelpad,8,,
9936HP,Karspelpad,6,,
9936HP,Karspelpad,2,,
9936HL,T.J. Jansenweg,11,,
9936HW,Wierderond,30,,
